EmployerName,Position,RegularPay,TotalWages
"University of California, Irvine",Admin Ofcr 2,17280,20867
"University of California, Irvine",Gsr-Tuit & Fee Rem,10517,10517
"University of California, San Diego",Stdt 4,4655,4655
"University of California, Davis",Electrn,47603,66094
"University of California, Riverside",HR Generalist 2,56578,57089
"University of California, Davis",Stdt 4,4599,5761
"University of California, Davis",Stdt 3,1386,1386
"University of California, Santa Cruz",Acad Achievement Cnslr 4,66531,67531
"University of California, Los Angeles",Alumni External Rel Spec 2,61052,63558
"University of California, San Francisco",Hosp Lab Tchn 1,88883,124784
"University of California, Santa Barbara",Stdt Rsdnc Halls,0,675
"University of California, Riverside",Assoc Prof-Ay,109250,109250
"University of California, San Diego",Hosp Blank Ast 2,53938,59823
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp F,36066,36066
"University of California, Santa Barbara",Remd Tut I-Non Gship,1587,2537
"University of California, San Francisco",Resid Phys II-Viii/Non Rep,62692,62692
"University of California, Irvine",Music Ther Nex,63837,67180
"University of California, Los Angeles",Clin Nurse 2,110373,119740
"University of California, Davis",Anesthetist Nurse Sr Ex,260965,266088
"University of California, Irvine",Stdt 4 Wksty,2601,2601
"University of California, Los Angeles",Gsr-Partial Fee Rem,4147,4147
"University of California, Irvine",Teacher-Unex-Contract Yr,0,5250
"University of California, San Francisco",Organizational Cnslt 5,180228,181228
"University of California, Los Angeles",Hosp Blank Ast 3,64118,77604
"University of California, Davis",Police Svc Supv 1,103453,104178
"University of California, San Diego",Food Svc Worker Ld,8651,8932
"University of California, Santa Cruz",Stdt 4,165,165
"University of California, Davis",Stdt Life Dev Spec 3,32000,32898
"University of California, Berkeley",Stdt 2,5382,5382
"University of California, Los Angeles",Rsch And Dev Engr 2,55192,55219
"University of California, San Francisco",Hosp Lab Tchn 1,77826,89268
"University of California, Santa Barbara",Blank Ast 3,35374,43003
"University of California, Santa Cruz",Stdt 4,2090,2090
"University of California, Irvine",Clin Rsch Crd,62708,69167
"University of California, San Francisco",Case Mgr Ex,174508,177258
"University of California, Berkeley",Teachg Asst-1/10-Non Gship,7335,7335
"University of California, Los Angeles",Resid Phys I/Rep,34938,41711
"University of California, Los Angeles",HS Clin Instr-Hcomp,27833,38781
"University of California, San Francisco",SRA 2 Nex,53636,53636
"University of California, Los Angeles",Head Coach 5,180833,185333
"University of California, San Francisco",Postdoc-Employee,101583,101583
"University of California, San Diego",Clin Nurse 2,94925,108374
"University of California, San Diego",Tut-Gship,4065,4065
"University of California, San Diego",Teachg Asst-Gship,19374,19374
"University of California, Berkeley",Gsr-Full Fee Rem,22833,22833
"University of California, Berkeley",Stdt 2,2614,2614
"University of California, Los Angeles",Gsr-Partial Fee Rem,17825,17825
"University of California, Berkeley",Teacher-Spec Prog,2601,2601
"University of California, Los Angeles",Child Dev Ctr Teacher 1,47578,47578
"University of California, San Diego",Stdt 2,1162,1174
"University of California, Los Angeles",Stdt 3,2808,2819
"University of California, Merced",Stdt 2,3077,3077
"University of California, Riverside",Stdt 1,2101,2124
"University of California, Merced",Digital Comm Spec 3,74869,74869
"University of California, San Francisco",Gsr-Full Fee Rem,41527,41527
"University of California, Los Angeles",Sales Spec 1,48107,48495
"University of California, Santa Cruz",Pharmacist Pd,6497,6497
"University of California, Los Angeles",Blank Ast 3,13354,13354
"University of California, San Diego",Nurse Pd,47850,55769
"University of California, Berkeley",Asst Proj Scientist-Fy,64214,64214
"University of California, Santa Barbara",Stdt 1,1407,1407
"University of California, Santa Cruz",Stdt 4,3096,3096
"University of California, Irvine",Cook Ast,43475,46410
"University of California, Davis",HS Clin Prof-Hcomp,189133,329811
"University of California, San Diego",Stdt 2,1439,1439
"University of California, San Francisco",Postdoc-Fellow,31690,72921
"University of California, Los Angeles",Food Svc Worker,34759,37543
"University of California, Berkeley",Fundraiser 5,40798,49073
"University of California, Irvine",Stdt 4,4445,4446
"University of California, Berkeley",Lect-Ay,17558,17558
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,19593,19593
"University of California, Los Angeles",Med Ctr Custodian Sr,26390,31544
"University of California, Riverside",Industry Allns Mgr 1,141752,145252
"University of California, Irvine",Stdt 4,3497,3497
"University of California, Berkeley",Lect-Ay-Continuing,83816,83916
"University of California, San Diego",Speaker-Unex,0,200
"University of California, San Francisco",Resid Phys/Subspec 4-8/Rep,71795,86371
"University of California, Riverside",Stdt 1,56,5683
"University of California, Los Angeles",Occupational Ther 1 Nex,37919,42976
"University of California, San Diego",Nurse Pract 2,165635,167241
"University of California, Davis",Resid-Vet Med/Non Rep,48204,48204
"University of California, Los Angeles",Stdt 1,1136,1136
"University of California, San Diego",Lect-Ay-1/9,5200,5200
"University of California, San Diego",Clin Nurse 2,2889,3067
"University of California, Berkeley",Stdt 2,2032,2032
"University of California, Santa Barbara",Stdt 1,1976,1976
"University of California, Davis",Gsr-Full Fee Rem,7467,7467
"University of California, Los Angeles",Electrn,89733,92645
"University of California, Santa Cruz",Blank Ast 3,50445,50932
"University of California, San Francisco",Clin Nurse 2,168635,176106
"University of California, Santa Barbara",Gsr-Tuit & Fee Rem,22889,22889
"University of California, Irvine",Gsr-Full Fee Rem,29057,29057
"University of California, Berkeley",Proj Scientist-Fy-B/E/E,92251,101753
"University of California, San Diego",Bus Tchl Supp Anl 2 Tx,82761,85183
"University of California, Irvine",Clin Nurse 2,137135,139461
"University of California, Los Angeles",Comm Spec 3,77653,78153
"University of California, San Francisco",Med Ctr Storekeeper Ld,74540,78502
"University of California, Los Angeles",HS Clin Prof-Hcomp,225621,313000
"University of California, Riverside",Agron Aes,255083,255083
"University of California, Berkeley",Applications Progr 3,101253,101753
"University of California, San Diego",Contracts And Grants Mgr 3,174153,174153
"University of California, Berkeley",Admissions Evaluator 3,7530,7530
"University of California, Santa Cruz",Stdt 4,620,620
"University of California, Berkeley",Acad Prg Mgt Ofcr 4,131250,131250
"University of California, Los Angeles",Publ Admstn Anl Sr,111396,111396
"University of California, San Diego",Stdt 4,1437,1437
"University of California, San Francisco",Recr Prg Instr 2,0,320
"University of California, Los Angeles",Adm Crd Ofcr,199212,200412
"University of California, San Francisco",Practice Crd 3,33562,38182
"University of California, Riverside",Vis Asst Prof,39583,39583
"University of California, Davis",Case Mgr Nex,150353,159216
"University of California, San Francisco",Pat Bill And Coll Repr 3,92787,97381
"University of California, Los Angeles",HS Asst Clin Prof-Hcomp,114367,366618
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,33260,33260
"University of California, Los Angeles",Ophthalmic Tchn 1,53866,54929
"University of California, Los Angeles",Surgical Tchn Pd,703,703
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp F,30845,30845
"University of California, Los Angeles",Asst Prof-Hcomp,121281,275776
"University of California, San Diego",Stdt 2,7180,7180
"University of California, Irvine",Stdt 4,802,808
"University of California, Riverside",Stdt 1,221,596
"University of California, Irvine",Digital Comm Spec 3,75238,77338
"University of California, San Francisco",Clin Rsch Crd,35202,36823
"University of California, San Francisco",Clin Rsch Crd Sr Nex,65498,65498
"University of California, Los Angeles",Lect-Ay-1/9,7972,7972
"University of California, Riverside",Blank Ast 3,55234,55734
"University of California, San Diego",Teachg Asst-Gship,5166,5166
"University of California, Davis",Stdt Acad Advisor 3,65813,65813
"University of California, Riverside",Postdoc-Employee,58249,58249
"University of California, Los Angeles",Sheetmetal Worker,89251,89916
"University of California, Los Angeles",Blank Ast 3,3955,7352
"University of California, San Francisco",Custodian Sr,52866,57645
"University of California, Davis",Stdt Life Dev Spec 3,68243,68243
"University of California, Irvine",Project Policy Anl 3,77913,87315
"University of California, Irvine",Stdt 4,6225,6225
"University of California, Irvine",Gsr-Full Fee Rem,11001,11001
"University of California, Los Angeles",Stdt Researcher,5880,5880
"University of California, San Francisco",Resid Phys II-Viii/Rep,66473,85249
"University of California, Irvine",Clin Nurse 2,108308,113198
"University of California, Los Angeles",Assoc Prof Of Clin-Fy,0,7292
"University of California, Berkeley",Child Dev Ctr Teacher 1,52928,52928
"University of California, Berkeley",Stdt 3,3434,3434
"University of California, Santa Barbara",Stdt 1,1414,1414
"University of California, Los Angeles",Stdt Svc Advisor 3,89670,91170
"University of California, Los Angeles",Clin Nurse 2,93125,95258
"University of California, Los Angeles",Admin Nurse 1,140556,169438
"University of California, Davis",Med Ctr Storekeeper Sr,54686,56149
"University of California, Los Angeles",Stdt 1 Non UC,1358,1358
"University of California, Merced",Stdt 2,11370,11370
"University of California, Davis",Fac Mgt Spec 3,92882,92882
"University of California, Los Angeles",Stdt Intra Sports 1,364,366
"University of California, San Francisco",SRA 4,104962,104962
"University of California, Santa Cruz",Teacher-Unex-Contract Yr,0,32590
"University of California, Berkeley",K To 14 Acad Prep Spec 4,99948,99948
"University of California, Los Angeles",Teachg Asst-Gship,2101,2101
"University of California, Davis",Food Svc Mech,66290,69834
"University of California, Los Angeles",Publ Admstn Anl Sr,85648,87148
"University of California, San Francisco",Hosp Blank Ast 3,66209,68552
"University of California, Merced",Teachg Asst-Gship,22621,22621
"University of California, Davis",Gsr-Full Fee Rem,27805,27805
"University of California, Santa Barbara",Acad Achievement Cnslr 3,41908,48270
"University of California, Berkeley",Admin Ofcr 2,42054,42054
"University of California, San Francisco",Clin Nurse 2,163111,174576
"University of California, Riverside",Gsr-Partial Fee Rem,12679,12679
"University of California, Irvine",Teacher-Unex-Contract Yr,0,900
"University of California, Irvine",Bus Tchl Supp Anl 2 Tx,54165,54467
"University of California, San Francisco",Recall Faculty,78482,78482
"University of California, San Diego",Engr Tchn Supv 2,93152,96165
"University of California, Berkeley",Clin Social Worker 3,88209,89409
"University of California, Santa Barbara",Remd Tut I-Non Gship,3336,3336
"University of California, San Francisco",Pat Care Ast,57624,64077
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp B,25098,25098
"University of California, Berkeley",Ath Profl 3 Bya,97500,97500
"University of California, Santa Cruz",Remd Tut I-Non Gship,279,279
"University of California, Santa Barbara",Stdt 1,305,450
"University of California, Los Angeles",Stdt 1 Non UC,150,150
"University of California, San Diego",Resid Phys II-Viii/Rep,66268,78613
"University of California, Los Angeles",Reader-Gship,503,503
"University of California, Irvine",Gsr-Full Fee Rem,33337,33337
"University of California, San Francisco",Cmptl And Data Sci Rsch Spec 5,219686,219686
"University of California, Berkeley",Teachg Asst-1/10-Gship,11420,11420
"University of California, San Diego",Rsch And Dev Engr 1,40209,40222
"University of California, Davis",Stdt 3,6598,7138
"University of California, San Francisco",Prof In Res-Hcomp,185192,314895
"University of California, Berkeley",Lect-Ay-1/10,7048,7048
"University of California, Santa Cruz",Teachg Asst-Gship,22891,22891
"University of California, Irvine",Hosp Blank Ast 1,39362,44287
"University of California, Berkeley",Specialist,87000,87000
"University of California, Los Angeles",K To 14 Acad Prep Spec 2,55888,55888
"University of California, Santa Barbara",Teachg Asst-Gship,8928,8928
"University of California, Davis",Clin Nurse 1,22472,24590
"University of California, Los Angeles",Clin Nurse 2,126235,130875
"University of California, San Diego",Clin Nurse 2,119702,121952
"University of California, Santa Barbara",Teachg Asst-Gship,17554,17554
"University of California, San Diego",Med Ctr Cook,39988,44802
"University of California, Davis",Stdt 2,5653,5653
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp E,25098,25098
"University of California, Los Angeles",Stdt 4,4590,16350
"University of California, Davis",Jr Specialist,30625,30625
"University of California, Davis",Stdt 2,2541,6072
"University of California, Berkeley",Stdt 2,4631,4631
"University of California, San Diego",Stdt 4,2236,2236
"University of California, Santa Cruz",Reader-Non Gship,144,144
"University of California, Merced",Custodian Sr,43190,44690
"University of California, Davis",Tut-Non Gship,248,248
"University of California, Los Angeles",Electrn Ld,102406,112189
"University of California, Davis",Health Tchn 2,48657,48669
"University of California, Berkeley",Stdt Life Dev Spec 4,11085,11085
"University of California, San Diego",Resid Phys II-Viii/Rep,63758,69758
"University of California, Los Angeles",Clin Spec Ex,47678,47678
"University of California, San Francisco",Clin Applications Profl 3 Gf,173430,182016
"University of California, Davis",Lab Helper,5097,5289
"University of California, Santa Barbara",Lab Ast 3,26546,26546
"University of California, Santa Cruz",Assoc Prof-Ay,145583,145583
"University of California, Los Angeles",Tut-Non Stdnt,7523,7523
"University of California, Riverside",Gsr-Partial Fee Rem,29199,29199
"University of California, Berkeley",Applications Progr 3,89850,89850
"University of California, San Diego",Psychometrist,14058,14411
"University of California, Santa Cruz",Govt Rel Spec 3,53236,60655
"University of California, Davis",Stdt 4,5714,5764
"University of California, Irvine",Hs Clin Instr-Hcomp,26083,31212
"University of California, Los Angeles",Stdt Researcher,2059,2059
"University of California, Berkeley",Specialist,58113,58113
"University of California, Davis",Stdt 2,620,620
"University of California, Davis",Clin Nurse 3,165079,176550
"University of California, Davis",Stdt 3,2775,2775
"University of California, San Francisco",Pharmacist Sr Ex,176946,176946
"University of California, Berkeley",Cook,3696,4211
"University of California, Berkeley",Americorp Member,0,6000
"University of California, Los Angeles",Voc Nurse Sr,66851,68070
"University of California, Davis",Ultrasound Tchno Sr Pd,18077,18371
"University of California, Los Angeles",QA Release Mgt Anl 4,123078,140238
"University of California, Irvine",Med Stf Svc Mgr 2,139378,163075
"University of California, Berkeley",Teachg Asst-1/10-Gship,9231,9231
"University of California, Davis",Clin Nurse 2,118076,138792
"University of California, Davis",Lect Psoe-Ay,99717,117000
"University of California, Irvine",Prof-Ay,126083,152030
"University of California, San Diego",Tut-Gship,2298,2298
"University of California, Davis",Lect-Ay-1/10,770,770
"University of California, Davis",Asc Physcn Diplomate,38056,64098
"University of California, Davis",Food Svc Supv 1,60247,60247
"University of California, Berkeley",Insulation Worker,102715,102715
"University of California, San Francisco",Postdoc-Employee,13635,13635
"University of California, San Diego",Asst Proj Scientist-Fy-B/E/E,91467,91467
"University of California, San Francisco",Acad Prg Mgt Ofcr 4,82797,82797
"University of California, Irvine",Stdt 4,1530,1530
"University of California, Berkeley",Lab Ast 2,21529,21529
"University of California, Berkeley",Teachg Asst-1/10-Gship,3018,3018
"University of California, San Francisco",Clin Rsch Crd Ast,15818,15818
"University of California, Davis",Custodian,39715,46323
"University of California, Davis",Teachg Asst-Gship,13792,17895
"University of California, San Diego",Teachg Asst-Gship,25303,30784
"University of California, San Francisco",Pat Supp Ast,7984,9496
"University of California, San Diego",SRA 2 Nex,46613,46613
"University of California, Berkeley",Gsr-Full Fee Rem,11422,11422
"University of California, San Francisco",Bldg Maint Worker,12916,12916
"University of California, Berkeley",Stdt 2,4935,4935
"University of California, Davis",Phys Plt Mech,56030,61102
"University of California, Los Angeles",Events Spec 3,74468,74468
"University of California, San Francisco",Hosp Blank Ast 2,57175,60181
"University of California, San Diego",Stdt 4,2325,2795
"University of California, Santa Barbara",Stdt 1,1242,1242
"University of California, Davis",Lab Helper,6494,6608
"University of California, Los Angeles",Blank Ast 2,6429,8077
"University of California, Riverside",Custodian Sr,38470,39909
"University of California, Los Angeles",Hosp Blank Ast 3,37826,53261
"University of California, Irvine",Teachg Asst-Gship,15046,15046
"University of California, Davis",Stdt 4,6071,6071
"University of California, Davis",Mail Svc Supv 1,67214,68214
"University of California, Los Angeles",Admin Anl Prn 1,86149,90226
"University of California, Berkeley",HS Assoc Clin Prof-Ay,27963,27963
"University of California, Davis",Stdt 4,3099,3099
"University of California, Merced",Teachg Asst-Gship,29681,29681
"University of California, Santa Barbara",SRA 3,11836,11836
"University of California, Irvine",Stdt Activities Appt Official,0,1167
"University of California, Los Angeles",Stdt Recr 1,1190,1190
"University of California, Santa Barbara",Postdoc-Employee,64286,64286
"University of California, Davis",Case Mgr Nex,166819,171640
"University of California, Berkeley",Stdt 3,13233,13233
"University of California, San Francisco",Financial Anl 3,102207,107207
"University of California, San Francisco",Project Policy Anl 4,110034,117804
"University of California, Berkeley",Project Policy Anl 4,120410,120910
"University of California, Los Angeles",Gsr-Partial Fee Rem,29492,29492
"University of California, Riverside",Rsch Adm 2,48922,54486
"University of California, San Francisco",Specialist,121100,121100
"University of California, San Francisco",Clin Rsch Crd,36076,40731
"University of California, San Diego",Clin Nurse 2,117708,121429
"University of California, Los Angeles",Asc Physcn Diplomate,163623,163623
"University of California, Los Angeles",Prof-Ay,202142,222142
"University of California, Santa Barbara",Intern-Clin Psych-Genl Camp,10526,10526
"University of California, Berkeley",Gsr-Tuit & Fee Rem,16986,16986
"University of California, San Diego",Clin Nurse 3,125715,133313
"University of California, Davis",Clin Nurse 2,144956,160680
"University of California, Berkeley",Scene Tchn Sr Pd,3663,3663
"University of California, Berkeley",Stdt 2,1461,1461
"University of California, Irvine",Stdt 4,1817,1828
"University of California, Irvine",Pat Rcds Abstractor 3,75112,83188
"University of California, Davis",Gsr-Full Fee Rem,22839,25440
"University of California, Los Angeles",Perf Artist 2,7896,7896
"University of California, Los Angeles",Admin Anl,62619,72184
"University of California, Irvine",Case Mgr Ex,135366,139595
"University of California, Irvine",Postdoc-Employee,27798,27798
"University of California, San Diego",Cmty Educ Spec 1,15842,17124
"University of California, Los Angeles",Teachg Asst-Gship,17554,17554
"University of California, Santa Cruz",Blank Ast 3,50445,50660
"University of California, Davis",Stdt 3,5627,5627
"University of California, Los Angeles",Asc Physcn,202400,302866
"University of California, Davis",Stdt 4,7080,7200
"University of California, San Francisco",Recall Faculty,14350,14350
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,23175,23175
"University of California, San Francisco",Clin Nurse 2,90561,94538
"University of California, San Diego",Postdoc-Employee,195,13635
"University of California, Los Angeles",Asst Proj Scientist-Fy,43254,43254
"University of California, Santa Barbara",Stdt Life Dev Spec 4,43680,44590
"University of California, Riverside",Teachg Asst-Gship,29710,29710
"University of California, Davis",Alumni External Rel Mgr 3,177187,177187
"University of California, San Francisco",Admin Mgr 1,51192,54717
"University of California, San Francisco",Clin Nurse 2,172288,212982
"University of California, Davis",Tut-Non Gship,2022,2022
"University of California, Davis",Clin Nurse 2,87524,99619
"University of California, Los Angeles",Admin Anl Sr,72698,73016
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp F,35328,35328
"University of California, Los Angeles",Miscellaneous,0,1000
"University of California, San Diego",Stdt Legal Svc Advisor 3,95772,95772
"University of California, Davis",Resid Phys II-Viii/Non Rep,65748,73841
"University of California, Riverside",Theater Prod Spec 2,14285,16355
"University of California, Riverside",Reader-Non Stdnt,2071,2071
"University of California, San Diego",Financial Svc Mgr 1,130028,131528
"University of California, Davis",Resid-Vet Med/Non Rep,19221,19221
"University of California, San Diego",Asst Prof-Ay,101300,134900
"University of California, San Francisco",Resid Phys II-Viii/Rep,68894,89440
"University of California, Merced",Stdt 2,2001,2001
"University of California, Los Angeles",Admin Anl Prn 1,73808,77462
"University of California, Los Angeles",Admin Spec,65983,72713
"University of California, Berkeley",Financial Anl Mgr 1,62424,62424
"University of California, San Francisco",SRA 3,69460,71172
"University of California, Davis",Pat Navgtr Non-Clin 2,22717,23251
"University of California, San Diego",Tut-Gship,39,39
"University of California, Riverside",Stdt 1,1705,1729
"University of California, Berkeley",Tut-Non Gship,3212,3212
"University of California, Berkeley",Teacher-Unex,0,600
"University of California, Los Angeles",Resp Care Spec 4,105472,120751
"University of California, Davis",Teachg Asst-Gship,26296,30399
"University of California, San Diego",Nurse Pract 2,162454,163814
"University of California, Los Angeles",Payroll Anl 2,56709,57522
"University of California, Davis",Custodian,41315,44252
"University of California, Berkeley",Stdt 3,1177,1177
"University of California, Santa Barbara",Stdt Volunteer,0,563
"University of California, San Francisco",Project Policy Anl 2,32664,32664
"University of California, Los Angeles",Lect-Ay-1/9,4176,4176
"University of California, Los Angeles",Stdt 2,832,832
"University of California, Davis",Non Evaluated Msp,52841,52841
"University of California, Davis",Tut-Non Gship,991,991
"University of California, San Francisco",Postdoc-Fellow,35812,97658
"University of California, Los Angeles",Resid Phys II-Viii/Rep,52354,74858
"University of California, Los Angeles",Stdt Intra Sports 1,724,729
"University of California, Santa Cruz",Teachg Asst-Gship,26413,30413
"University of California, Irvine",Teachg Asst-Gship,30534,30534
"University of California, Los Angeles",SRA 1,34175,38286
"University of California, Los Angeles",Stdt 3,3820,3820
"University of California, Berkeley",Asst Res-Fy,87308,87308
"University of California, San Diego",Clin Applications Profl 3,118196,120696
"University of California, Los Angeles",Nurse Pract 2,191010,202075
"University of California, Santa Cruz",Teachg Asst-Gship,5502,5502
"University of California, Los Angeles",Lect-Ay-Continuing,88047,88047
"University of California, Irvine",Clin Nurse 2,107071,128671
"University of California, Irvine",Clin Lab Sci,123815,134409
"University of California, Merced",Stdt 1,2027,2027
"University of California, Los Angeles",Admin Spec,48931,50484
"University of California, San Diego",Sys Adm 3,16586,16586
"University of California, Davis",Stdt 4,6605,6667
"University of California, San Diego",Custodian Sr,19591,20250
"University of California, San Diego",Blank Ast 3,49361,53588
"University of California, San Francisco",Hosp Blank Ast 2,66920,68966
"University of California, Merced",Stdt 2,900,900
"University of California, Berkeley",Stdt 2,11113,11613
"University of California, Santa Cruz",Stdt 4,1197,1197
"University of California, Los Angeles",Med Ctr Food Svc Worker Prn,42303,48837
"University of California, Berkeley",Stdt 2,276,276
"University of California, San Francisco",Oth Post-Md Train 2-8/Rep,43922,55428
"University of California, Irvine",Med Ctr Custodian Pd,27052,27977
"University of California, San Diego",Voc Nurse Sr,66211,71585
"University of California, Irvine",Clin Lab Sci,101683,115108
"University of California, Davis",HR Mgr 3,216778,216778
"University of California, Irvine",Fundraiser 3,63791,63791
