order_id,company,account_manager,address,city,state,zip_code,cost,sales
719251ae,Webb Group,Creed Patton,664 Debbie Island Suite 921,Heatherfort,PA,40025,150,225
7.19E+13,Kelly-Flowers,Andy Bernard,0996 Sharon Flat Apt. 787,Dudleystad,TN,37048,109.9,164.9
71925226,"Moore, Kaufman and Washington",Andy Bernard,17186 Stephanie Forges Suite 231,North Jerryburgh,MN,79631,135,202.5
71925262,Rodriguez-Fernandez,Creed Patton,66495 Julia Expressway,Jenniferburgh,WV,57034,84.7,127.1
7192529e,Faulkner-Newton,Dwight Schrute,5957 Foster Field,Kennethside,GA,14478,75,112.5
719252d0,Huynh Inc,Stanley Hudson,281 Scott Via,Christopherhaven,NV,61492,70.4,105.7
7192530c,Stanley Inc,Creed Patton,26547 Benjamin Cove,Cindyside,NM,89820,54.8,82.2
71925348,Johnson Ltd,Creed Patton,517 Peters Valleys Apt. 467,Stephanieberg,AZ,86116,100,150
71925386,"Rodriguez, Miller and Young",Andy Bernard,0322 Johnson Tunnel Suite 679,West Bryan,AL,29685,69,103.5
719253c0,"Mcgee, White and Watson",Ryan Howard,8609 Fletcher Rapid,Port Jeffside,ME,73766,15.6,23.4
719253fa,"Rodriguez, Patton and Schaefer",Andy Bernard,65196 Rodriguez Court,West Paula,AZ,28217,130.1,195.1
71925438,"Tanner, Martin and Jones",,044 Sharon Club Suite 039,East Margaret,KS,14772,109.9,164.9
71925474,Cochran-Andrews,Dwight Schrute,8684 Cameron Drive Apt. 274,Meltonport,AR,47447,55.4,83.1
719254b0,"Williams, Parker and Young",Phyllis Vance,8419 Smith Parkway,Lake Stephanie,IA,2248,48,72
7.19E+07,Lewis-Richardson,Michael Scott,120 Alicia Islands,Port Kevin,NE,31179,50,75
7192551e,Blankenship Ltd,Dwight Schrute,74472 Hayes Field Suite 084,Barrettmouth,ID,62324,71.8,107.7
7192555a,"Reed, Dickson and Waters",Creed Patton,7320 Whitney Plaza Suite 098,Calhounview,WI,81696,62.5,93.8
71925598,Cooper PLC,Stanley Hudson,3966 Thomas Hills Suite 833,Wandashire,UT,45893,87.5,131.2
719255d2,"Peck, Miller and Moore",,95605 Hill Bypass Suite 670,Johnathanfort,CA,97709,82.5,123.8
7192560c,"Flowers, Gomez and Welch",,81835 Christopher Loop,Gomeztown,RI,53737,62.2,93.3
7192564a,Roman-Kim,Creed Patton,44044 Blevins Island,West Jerry,NE,69265,69.2,103.8
71925686,Grant and Sons,Dwight Schrute,5115 Mercado Extensions,North Robertbury,AZ,19788,70,105
719256b8,"Baker, Green and Dorsey",Dwight Schrute,523 Fuller Islands,South Lindsay,NH,48564,115.9,173.9
719256f4,"Russo, Wheeler and Oneill",Creed Patton,8724 Aaron Port,New Michaelstad,MD,60117,59.9,92.4
71925730,Davenport-Levy,Stanley Hudson,03814 Holland Junctions Suite 346,Rebeccaborough,NC,28002,82.5,123.8
7192576c,Shaffer-Powers,Ryan Howard,199 Smith Meadows,Brandonland,MO,30085,80,120
719257a8,Warren Inc,Ryan Howard,33664 Wayne Plains,New Sharon,SD,18786,104.9,157.4
7.19E+09,Savage-Kennedy,Pam Beesly,9669 Hall Glens Apt. 076,Lake Andrea,MS,85262,67.4,101.1
7192581e,"Davis, Richardson and Boyd",Dwight Schrute,5993 Joseph Plain,Schultzfurt,MD,89088,150,225
7192585c,"Barnes, Gill and Alexander",Stanley Hudson,277 Victoria Meadow Suite 721,West Lindseymouth,VT,16236,71.7,107.6
7192588c,Martinez Group,Dwight Schrute,926 Gonzales Land Apt. 227,Port Mariaborough,LA,47477,300,450
719258ca,Johnson Group,Andy Bernard,55811 Jennifer Vista,Christopherstad,RI,88049,71.1,106.7
71925906,Watson-Black,Dwight Schrute,53179 Washington Mews Suite 774,Jasonborough,IL,61986,70.8,106.2
71925942,Allen PLC,,71025 Quinn Trace,South Susantown,RI,68196,25,37.6
7192597e,"Navarro, Williams and Davis",Phyllis Vance,21597 Lynch Squares,Jerryport,UT,42541,82.6,123.9
719259ba,"Kelly, Reed and Carroll",Dwight Schrute,8197 Teresa Turnpike,Jenniferhaven,ME,11555,150,225
719259f6,Davis PLC,Pam Beesly,545 Amber Ports Apt. 502,North Andremouth,AK,88204,101.6,157.4
71925a34,"Clark, Mcclain and Adams",Dwight Schrute,28654 Mary Turnpike Suite 826,West Amychester,CO,78424,109.9,164.9
71925a6e,Greene Group,Andy Bernard,86286 Silva Canyon Suite 962,New Tylertown,RI,3765,69.2,103.8
71925aa8,Andrews-Bauer,Dwight Schrute,9223 Mary Wall Apt. 977,Doylemouth,SC,81236,275,412.5
71925adc,Nelson-Ferguson,Dwight Schrute,69848 Heather Estate Apt. 565,Smithstad,FL,90306,18.6,27.9
71925b22,Leach Ltd,,436 Turner Valley,North Diana,AK,11565,73.5,110.3
71925b5e,"Robles, Santos and Spears",Dwight Schrute,8996 Herman Falls Suite 272,Williamston,SD,99397,188.9,283.4
71925b90,"Goodwin, Cook and Baker",Dwight Schrute,2362 Lucero Village,Port Carolynview,KS,37101,53.3,80
71925bcc,Ross Group,Dwight Schrute,488 Scott Field,South Jenniferstad,OK,33552,145,217.4
71925c08,Martinez-Evans,Kevin Malone,040 Regina Ranch Suite 196,Rivasland,HI,49718,125,187.4
71925c3a,Mays Inc,Dwight Schrute,2792 Jared Pine Apt. 917,New Michaelton,TN,49939,41.7,62.5
71925c76,Reed-Jenkins,Andy Bernard,6227 Ashley Villages,Flemingberg,NJ,45100,20,30
71925cb4,Mcpherson Inc,Ryan Howard,07769 Carl Ridges Apt. 544,Riverahaven,AZ,17314,40.8,61.2
71925cee,Johnson Ltd,,517 Peters Valleys Apt. 467,Stephanieberg,AZ,86116,64.8,97.2
71925d28,"Guerrero, Vargas and Blair",Stanley Hudson,784 Emily Forges Apt. 651,North Austin,CA,6683,79.2,118.8
71925d5c,"Stout, Green and Foster",Stanley Hudson,574 David Expressway,New Sandrafurt,VT,27687,75,112.5
71925d98,"Martinez, Rodriguez and Hanson",Creed Patton,8686 Susan Coves,North Jennifer,ME,73854,65,97.5
71925dd4,Russo-Owens,Creed Patton,4208 Cisneros Parkway,West Markhaven,PA,66001,63,94.5
7.19E+10,Jimenez and Sons,Dwight Schrute,7413 Turner Centers Suite 681,Rodneyshire,TX,81750,346.4,519.6
71925e4c,Mason-Barnes,Phyllis Vance,2307 Richard Views,Ashleybury,WI,72750,55.1,82.7
7.19E+92,Webster Inc,Dwight Schrute,81939 Day Trafficway,West Nicoleborough,AL,21176,71.1,106.7
71925ec6,"Johnson, Erickson and Davis",Phyllis Vance,6305 Derrick Burgs Suite 780,Joshuaborough,MS,7750,65,97.5
71925ef6,Mccormick-Williams,Phyllis Vance,779 April Mountain,South Jessica,UT,56115,70,105
71925f34,"Buckley, Rogers and Wilson",Stanley Hudson,9633 William Shore Apt. 228,Shawntown,OH,92839,94.5,146.7
71925f6e,Bowman-Reid,Andy Bernard,3640 Richards Flat Suite 418,East Brian,WY,49323,49.9,74.9
71925fa8,Kim and Sons,Stanley Hudson,970 Jones Neck,West Michele,OH,86072,68,102
71925fe6,Mcpherson Inc,Andy Bernard,07769 Carl Ridges Apt. 544,Riverahaven,AZ,17314,264.9,397.4
71926022,Davis LLC,Stanley Hudson,54530 Jeffrey Greens Apt. 850,Port William,WY,29000,67.5,101.3
7192605e,"Chambers, Morales and Brown",Phyllis Vance,14140 Taylor Skyway,East Kimberlyville,NH,73734,33.7,50.6
7192609a,"Brown, Marquez and Alexander",Kevin Malone,02894 James Ports,Jonesside,NH,10782,75,112.5
719260d8,Sullivan-Bell,Dwight Schrute,164 Morales Springs Apt. 263,Shawfort,WY,36959,53.3,79.9
71926112,Rodriguez and Sons,Dwight Schrute,16676 Angela Junction,New Cody,SD,21637,85,137.5
7192614c,Warren Inc,Stanley Hudson,33664 Wayne Plains,New Sharon,SD,18786,99.7,149.6
71926180,"Christian, Garcia and Moore",Phyllis Vance,24261 Perez Cove Apt. 642,West Craig,GA,5763,150.7,226.1
719261ba,Gutierrez-Williams,Phyllis Vance,29229 Molly Haven Apt. 103,East William,OK,86073,90.6,135.9
719261f8,"Padilla, Harris and Davis",Ryan Howard,5205 Susan Loop,Lake Eric,DE,61563,53.8,80.6
71926234,Carter LLC,Stanley Hudson,5182 Davis Walk Suite 703,Lake Charles,MT,22254,224.9,337.4
71926270,Frey PLC,,63323 John Union Apt. 197,Lake Bradside,AR,79410,122.4,183.7
719262ac,Hernandez-Reynolds,Phyllis Vance,20871 Johnathan Hollow Apt. 287,Lake Evan,NY,67266,96.5,144.8
719262de,Barnes Group,Andy Bernard,010 Robinson Locks,West Wesleymouth,AR,50142,33.1,49.7
7192631a,Gomez Ltd,,463 Underwood Avenue Apt. 249,East Randyton,AR,38716,125,187.5
71926358,Johnson-Ramirez,,25516 Nelson Via Apt. 096,Port Josephland,NE,99057,147.5,221.3
71926392,Cooper PLC,Creed Patton,3966 Thomas Hills Suite 833,Wandashire,UT,45893,82.5,123.7
719263cc,Evans LLC,Creed Patton,314 Sandra Union Suite 684,Amystad,GA,54183,176.1,264.1
71926400,Knight Group,,008 Christina Rest Apt. 948,East Edwinfort,VA,12273,90,135
7192643a,Robinson PLC,Dwight Schrute,7481 Mitchell Tunnel Apt. 136,West Lisa,FL,47273,160,240
71926478,Parrish-Spencer,Andy Bernard,7601 Rachael Squares,New Angelabury,CT,19921,50,75
719264a8,Meyers LLC,Dwight Schrute,30410 Michael Vista Suite 021,Hardyborough,OH,24765,66.3,99.5
7.19E+11,"Richmond, Smith and Cox",Ryan Howard,38094 Sexton Cape,Vincentmouth,PA,16241,73.5,110.3
71926522,Jackson-Conley,Dwight Schrute,756 Amber Roads Apt. 832,Matthewfurt,MD,52538,104.6,156.9
71926554,"Ibarra, Hernandez and Rodriguez",,439 Jasmine Knoll,South Amandaland,SD,97086,497.5,746.3
71926590,Morris-Joyce,,7362 Brenda Islands,Melissaland,ME,6341,274.9,412.4
719265cc,"Randall, Anderson and Perez",Creed Patton,81198 Dudley Garden Suite 581,Lake Maryburgh,MN,87967,45.4,68.1
71926608,"Wright, Jones and Massey",Ryan Howard,279 Rogers Alley Suite 444,Wilsonshire,WV,10285,33.1,49.7
71926646,"Griffin, Wade and Oneill",Dwight Schrute,5189 Brian Manor Apt. 190,Williamsonburgh,NV,55567,184.9,277.4
71926680,Anderson Inc,Stanley Hudson,12172 West Isle,North Crystalhaven,PA,36533,87.5,131.2
719266ba,Reed and Sons,Kevin Malone,3801 Martinez Junctions Apt. 859,Jamieport,NE,67442,119.6,179.4
719266f8,Escobar PLC,Stanley Hudson,8550 Joann Wells,New Kyle,ID,17693,150,225
71926734,Foley and Sons,Ryan Howard,032 Jean Unions Apt. 933,North Jared,AL,25432,104.5,156.8
71926770,Moss-Hughes,,734 Kayla Fork Suite 909,Austinburgh,UT,62341,66,99
719267ac,Porter-Ewing,Andy Bernard,73588 Richard Canyon,East Amandaland,NV,20937,51.3,77
7.19E+13,Austin-Lucas,Stanley Hudson,4748 Yang Views,Lake Randyview,MA,7053,199.9,299.9
7192682e,"Myers, Rangel and Brown",Michael Scott,820 Amanda Station,Dunnside,NV,95676,90,135
7192687e,Martinez-Meyer,,3281 Frank Villages Suite 831,North Davidshire,WA,6843,19.6,29.4
719268c6,"Christensen, Johnson and Simmons",Andy Bernard,81681 Jennifer Extension,Rayville,TN,79214,110.7,166.1
71926900,Williams-Lee,Dwight Schrute,3588 Hill Unions,New Alexandraport,UT,61684,159.7,239.6
7192693a,Winters-Williams,Dwight Schrute,111 Christopher Terrace,Amyland,WI,7863,92.5,138.8
71926982,"Murphy, Contreras and Lam",Dwight Schrute,3262 Vincent Corners Apt. 363,South Michaelberg,IL,47625,86.6,129.9
719269be,Wilkins and Sons,Andy Bernard,20706 Johnson Junctions Apt. 176,Shepardmouth,OR,1033,97.5,146.3
71926a06,Hill LLC,Creed Patton,412 Reed Burgs,Amandaview,WV,62962,74.9,112.4
71926a40,Moore-Moody,Andy Bernard,5826 Jennifer Branch,Port Kevin,CO,91192,89.8,134.7
71926a7a,"Smith, Anderson and Johnson",Stanley Hudson,835 Bethany Stravenue Suite 900,Barneschester,OH,32023,42,63
71926ab8,"Rich, Newton and Miller",Andy Bernard,225 Jones Rapids Apt. 061,West Louis,DC,30456,54.8,82.2
71926afe,Gomez Ltd,Andy Bernard,463 Underwood Avenue Apt. 249,East Randyton,AR,38716,135,202.5
71926b3a,Lewis-Richardson,,120 Alicia Islands,Port Kevin,NE,31179,57.5,86.3
71926b76,Hurst-Torres,Stanley Hudson,229 Steven Rest,Tracyville,NJ,61591,249.7,374.5
71926bb4,Davis LLC,Kevin Malone,54530 Jeffrey Greens Apt. 850,Port William,WY,29000,214.9,322.4
71926be4,"Holt, Peters and Cochran",Dwight Schrute,406 Kevin Drive Suite 972,Jeffreyburgh,ME,45283,146.6,219.9
71926c1e,"Williams, Young and Ross",Dwight Schrute,00407 Evelyn Loop Apt. 760,Patrickmouth,WY,98741,48,72
71926c70,Washington-Santos,,156 Donna Ridges Apt. 254,Patrickview,WV,8836,87.4,131.1
71926cac,Nunez-Bruce,Dwight Schrute,147 Patel Via,Lake Saraport,TN,11879,74.6,111.9
71926ce8,Burke Group,Dwight Schrute,8006 Robert Lake Suite 855,West Laurenport,CA,5413,150,225
71926d24,Santana PLC,Dwight Schrute,4697 Johnson Mountains,Rodrigueztown,GA,94366,69.8,104.7
71926d62,Lewis-Richardson,,120 Alicia Islands,Port Kevin,NE,31179,297.2,445.8
71926d9c,Bailey-Kennedy,Ryan Howard,4257 Dennis Manor Apt. 379,Lake Brenda,NJ,70170,45,67.5
71926dd8,Harris-Gibbs,Meredith Palmer,804 Carter Haven Apt. 887,Meyerside,DC,4692,90,134.9
7.19E+18,Cochran LLC,Stanley Hudson,78083 Schmidt Lakes Apt. 597,West Mollyberg,NH,73435,31.5,47.3
7.19E+54,Carlson-Garcia,Stanley Hudson,0266 Carlos Station,Christinastad,WV,76525,74.9,112.4
71926e8c,Wilson PLC,,3108 Erica Roads,Tammyfurt,NC,62188,135,202.5
71926ed2,"Avery, Palmer and Norton",Andy Bernard,03956 Richard Well,Landryville,KY,25651,30.6,45.9
71926f18,Curtis-Olsen,Andy Bernard,84978 Kelli Via Apt. 387,Khanmouth,NH,72564,69.2,103.8
71926f54,"Taylor, Moore and Jones",Stanley Hudson,055 Victoria Shoal,South Wesley,KY,73451,52.3,78.4
71926f9a,Johnson-Hall,Dwight Schrute,6986 Mclaughlin Stream Suite 722,North Janet,RI,25662,30.5,45.7
71926fe2,"Evans, Martin and Wang",Andy Bernard,591 Holly Expressway,New Samuel,OK,54983,33.3,50
71927012,Smith-Bond,Andy Bernard,859 Mooney Throughway Suite 641,Davidsonburgh,MD,10519,125,187.5
71927058,Johnson Group,Stanley Hudson,55811 Jennifer Vista,Christopherstad,RI,88049,265,397.5
71927094,Vazquez-Davidson,Ryan Howard,677 Munoz Port Suite 181,Cindychester,RI,50065,41.9,62.9
719270d0,Cantrell-Nash,Michael Scott,4086 Smith Cove Suite 438,New Roy,MI,88880,199.9,299.9
7192710c,Fisher-Russell,Ryan Howard,734 Miller Square,Amandaport,KY,87612,41.3,62
71927148,Marquez-Weiss,Dwight Schrute,0763 Hicks Court,Williamsborough,NH,68724,53.3,80
71927186,Hurst-Torres,Stanley Hudson,229 Steven Rest,Tracyville,NJ,61591,104.5,156.8
719271c0,"Mooney, Stein and Thomas",Ryan Howard,67215 Potter Light Apt. 207,Connieton,UT,97360,90,135
719271fa,Dunn-Hernandez,Andy Bernard,075 Christopher Run Suite 551,Robertchester,AZ,44090,52.3,78.5
71927238,Haynes-Turner,Dwight Schrute,553 Coleman Mill Suite 931,Clarkeberg,MT,29051,71.7,107.6
71927274,Fletcher and Sons,Andy Bernard,87825 Brown Rest,Allenbury,AK,45883,53,84.5
719272b0,"Smith, Fox and Howard",Stanley Hudson,95644 Carmen Drive,West Heathermouth,SC,51759,82.6,123.9
719272ec,"Jones, Thomas and Summers",Andy Bernard,150 Brian Way Apt. 702,Angelland,CA,16690,89.5,134.3
71927328,Delgado Group,Creed Patton,038 Jason Wells,Chenfurt,MA,74436,64,96
71927364,"Ramirez, Gonzalez and Glover",Kevin Malone,254 Lewis Lights,Port Matthewtown,TX,62665,33.1,49.7
7192739e,Wagner-Thompson,,674 Hernandez Unions,Williamsburgh,DC,72546,63,94.5
7.19E+11,Malone-Brooks,,90969 Hill Fork,Jasmineberg,NV,514,78,117
71927422,Hale-Doyle,,082 Boyd Ramp,West Christinafort,MS,86195,87.5,131.3
71927454,"Moon, Jackson and Blackburn",,33283 Jesse Valley Suite 066,North Brandonland,MO,80568,102.5,157.4
71927490,Dominguez-Wilson,Dwight Schrute,81044 Reed Crossroad Suite 286,Johnville,TX,17460,110.4,165.6
719274d8,Davis Ltd,Stanley Hudson,199 Amanda Loaf,Brittanyside,NJ,1300,67.5,101.3
71927512,"Mason, Cook and Black",Meredith Palmer,30688 Carroll Trail,New Davidview,NC,41722,90.6,135.9
7192754c,Singleton-Rogers,Michael Scott,20452 Daniel Groves,Howellfort,WY,65786,86.7,130.1
7192758a,Walsh-Alvarado,,64889 Joseph Summit Apt. 680,Rodgersside,TX,91900,109.9,164.9
719275ba,"Fernandez, Cook and Jimenez",Dwight Schrute,28984 David Pass,Cheyennehaven,ME,28790,99.9,149.9
719275f8,Rodriguez-Fernandez,Ryan Howard,66495 Julia Expressway,Jenniferburgh,WV,57034,158.4,237.6
71927648,Garcia-Conway,Michael Scott,53625 Holden Fort Apt. 872,Angelaburgh,NJ,54616,148.9,223.4
71927686,Austin-Lucas,Kevin Malone,4748 Yang Views,Lake Randyview,MA,7053,90.6,135.9
719276c0,Wright Ltd,Pam Beesly,53067 Yvonne Glens,Brianview,MI,69899,69.2,103.8
719276fa,"Sims, Parker and Watkins",,94934 Wade Shoals,West Sean,NJ,97793,57,90.5
71927738,"Foster, Decker and Warren",,43512 Garner Keys,Meyerbury,AZ,72036,91.4,137.1
7192777e,Myers Inc,,807 Hubbard Ville Suite 613,Harrisfort,AR,42181,54,81
719277ba,Wilson-Howard,Phyllis Vance,6309 Jackson Walk Apt. 143,South Erinstad,OH,61390,65,97.5
719277f6,Flores-Hernandez,Andy Bernard,543 Meyers Center Suite 790,South Jenniferfurt,FL,85713,15.6,23.4
71927834,Davis Ltd,Dwight Schrute,199 Amanda Loaf,Brittanyside,NJ,1300,110,164.9
71927864,"Miller, Peterson and Davis",Stanley Hudson,15600 Bishop Manors Apt. 527,North Jacqueline,SD,19717,75,112.5
719278a8,Anderson Ltd,Ryan Howard,0604 Martinez Expressway,Port Timothy,ME,17081,82,123
7.19E+11,Jones-Kim,,707 Jonathan Summit,Rebeccaburgh,NJ,16322,140,210
71927922,Holt-Burke,Dwight Schrute,001 Sparks Plain,Laramouth,OR,71090,109.7,164.6
7192795e,Gonzalez Ltd,Stanley Hudson,130 Andrew Center,Masonborough,WY,3830,49,73.5
719279a4,Freeman Inc,Michael Scott,8399 Kevin Street Suite 749,Margaretfurt,DE,41405,57.8,86.7
7.19E+07,"Hernandez, Randall and Madden",Meredith Palmer,78512 Bernard Meadows Apt. 711,Allisonport,IA,69167,171.5,257.3
71927a12,Gomez Ltd,Creed Patton,463 Underwood Avenue Apt. 249,East Randyton,AR,38716,97,149.2
71927a58,"Schroeder, Morris and Castillo",Pam Beesly,1582 Conrad Turnpike Apt. 298,Shawnhaven,OR,1275,180,270
71927a9e,"Aguirre, Dominguez and Smith",Kevin Malone,9043 Hood Prairie,Guerrabury,MN,90707,94.3,141.4
71927ada,Freeman Inc,Kevin Malone,8399 Kevin Street Suite 749,Margaretfurt,DE,41405,79.4,125.1
71927b18,Jackson-Howard,,2789 Michael Circle,Lake Mia,KS,5129,60,90
71927b52,"Garcia, Caldwell and Wilson",Kevin Malone,421 Debra Village,South Brenda,NC,20061,104.9,157.4
71927b8c,Simpson-Mclaughlin,Dwight Schrute,19401 Kelley Turnpike Suite 930,New Peterville,FL,13503,57.8,86.7
71927bca,Mccormick and Sons,,28792 Rodriguez Locks,Davidstad,AL,77576,186.7,280.1
71927c06,Gentry-Mills,Dwight Schrute,7377 Dawson Stream,Mejiafort,HI,21519,67.5,101.3
71927c4c,"Freeman, Young and Jones",,50984 Kelly Track Apt. 760,East Josephshire,MN,91665,74.6,111.9
71927c88,Cook LLC,,20979 Ellis Vista Suite 813,Tylertown,AR,75576,96.4,144.6
71927ccc,"Cox, Adams and Barton",Andy Bernard,7817 John Glens,Jonesshire,NY,15357,97.8,146.8
71927d0a,Leach and Sons,Dwight Schrute,329 Anna Corners Suite 763,Edwardschester,NM,21660,63,94.5
71927d50,Velazquez Inc,Creed Patton,638 Johnson Brooks Suite 078,Faithton,MT,6916,42.9,64.4
71927d8c,Krueger-Walker,,62366 Brennan Shores,Jenniferton,ND,42194,75,112.5
71927dd2,"Olson, Johnson and Krueger",Phyllis Vance,08642 Kim Square Suite 336,Chandlerstad,AZ,17489,80,120
71927e0c,Coffey-Zimmerman,Ryan Howard,416 Angela Causeway Suite 658,North Robinville,LA,12447,90.6,135.9
71927e4a,Flores-Hernandez,Meredith Palmer,543 Meyers Center Suite 790,South Jenniferfurt,FL,85713,89.1,133.7
7.19E+90,Delgado Ltd,Dwight Schrute,8488 Lindsey Island Suite 141,North Kathleen,LA,45594,137.5,211.3
71927ec2,Grant-Harris,Andy Bernard,382 Andrew Mountains Suite 123,New Haroldport,NY,48772,110.7,166.1
71927efe,Marquez-Weiss,Stanley Hudson,0763 Hicks Court,Williamsborough,NH,68724,33,49.5
71927f3a,Oliver Ltd,,85177 White Land Apt. 636,Walshfort,AL,71118,48.4,72.6
71927f76,"Keller, Coleman and Ramos",Kevin Malone,95057 Collins Tunnel Apt. 075,Port Joshua,IL,95636,185,277.5
71927fb4,Velazquez-Mills,Dwight Schrute,869 Raymond Prairie Suite 607,New Yolandafurt,AL,49329,105,157.5
71927fee,"Price, Cook and Smith",Michael Scott,2295 James Crossroad Apt. 958,Stevenfort,MD,65039,22.5,33.8
71928028,"Rivera, Johnson and Lewis",Dwight Schrute,06595 Sheryl Loaf,Lake Teresabury,NJ,726,33.7,50.6
71928066,Price PLC,Stanley Hudson,595 Cox Bypass,East Beth,OH,39465,89.2,133.8
71928098,Frederick LLC,Dwight Schrute,967 Jennifer Keys,Lake Aaron,NY,51280,69,103.5
719280de,"Palmer, Jackson and Warren",Stanley Hudson,35359 Trevino Locks,Alvarezland,GA,61389,150,225
71928110,Harris PLC,Kevin Malone,126 Williams Crossroad,South Stevenmouth,IN,54673,82.5,123.8
7192814c,Vasquez-Peterson,Kevin Malone,7866 Cline Landing Apt. 722,Port Joeshire,NE,85506,82,123
71928192,"Carpenter, Simpson and Duke",Andy Bernard,360 Sanchez Parks Apt. 011,Karlaview,ND,26984,89.8,134.7
719281cc,Miller LLC,Dwight Schrute,874 Brown Point Suite 402,Heathermouth,UT,84073,220,330
7192820a,"Guerrero, Vargas and Blair",Phyllis Vance,784 Emily Forges Apt. 651,North Austin,CA,6683,91.4,137.1
71928246,"Thompson, Andrews and Harper",Ryan Howard,852 Juarez Expressway Apt. 844,Williamport,AL,41430,66.3,99.5
71928282,Vargas Inc,Andy Bernard,2413 Huerta Station Suite 503,Orozcomouth,ND,24886,63.8,95.7
719282b4,Anthony-Oconnor,Andy Bernard,776 Williams Crescent,Michaelfurt,OR,2810,65,97.5
719282f0,"Webb, Peterson and Mckinney",Andy Bernard,1320 Greene Burgs Suite 274,Port Victoria,AR,60084,74.9,112.4
7192832c,Mcintyre-Caldwell,,869 Cole Hollow,West Betty,MO,12987,59.9,92.4
71928368,Thomas-Sanchez,Michael Scott,02162 Ramos Cliffs,Kathleentown,AK,90308,100.6,150.9
719283a4,Welch Ltd,,590 Sarah Extension,West Richardland,UT,93581,130,195
7.19E+07,"Carlson, Padilla and Price",,18233 Hendricks Junctions,Vazquezfurt,WV,31409,125,187.4
7192841c,Figueroa-Williams,Stanley Hudson,16487 Larry Motorway,Michaelfort,MD,64795,40.5,60.8
71928458,"Randall, Anderson and Perez",Stanley Hudson,81198 Dudley Garden Suite 581,Lake Maryburgh,MN,87967,71.1,106.7
71928494,"Lewis, Ferrell and Morgan",Stanley Hudson,7591 Natalie Terrace,Cherylborough,MI,72182,52.3,78.5
719284d0,Gillespie LLC,,5463 Robert Shoals Suite 346,Andrewchester,MA,81443,70,105
7192850c,"Carter, Hopkins and Smith",Michael Scott,8262 Ryan Ferry Suite 255,West Corey,AZ,32873,103.3,155
71928548,Johnson-Keller,Kevin Malone,17375 Powers Extension,Brownfort,NY,31922,79.2,118.8
71928586,Harper-Fischer,Andy Bernard,0224 Nelson Wells,Lake Caleb,NJ,60742,68.8,103.2
719285c0,Mckay PLC,Phyllis Vance,1135 Heather Bridge,Coleland,ND,10170,35.7,53.6
719285fa,Clayton-Carpenter,Stanley Hudson,822 Michelle Mount Apt. 608,Port Kevin,UT,57668,49.6,74.4
71928638,"Guerrero, Vargas and Blair",Phyllis Vance,784 Emily Forges Apt. 651,North Austin,CA,6683,160,240
7192867e,Snyder-Turner,Kevin Malone,97135 Ramirez Freeway,Catherinechester,DE,4238,92.5,138.7
719286ba,Baker-Oconnor,Kevin Malone,3367 Christina Lane Suite 806,South Matthewborough,ME,39192,62.2,93.3
719286f6,Nelson-Ferguson,Andy Bernard,69848 Heather Estate Apt. 565,Smithstad,FL,90306,20.9,31.4
7192873a,Savage-Kennedy,,9669 Hall Glens Apt. 076,Lake Andrea,MS,85262,133.6,200.3
71928778,Graham Group,Dwight Schrute,8322 Dustin Mall Apt. 322,Lake Marybury,AL,4959,153.3,230
719287b4,Wyatt and Sons,Dwight Schrute,04012 Rosales Lodge,Billymouth,IL,10961,115.5,173.3
