District Name,Date,Number of accidents,Mild injuries,Serious injuries,Victims,Vehicles involved
Ciutat Vella,2017-02-12 00:00:00,1,1,0,1,2
Ciutat Vella,2017-02-15 00:00:00,2,1,0,1,3
Ciutat Vella,2017-02-17 00:00:00,2,2,0,2,4
Ciutat Vella,2017-02-18 00:00:00,2,2,0,2,4
Ciutat Vella,2017-02-19 00:00:00,1,1,0,1,1
Ciutat Vella,2017-02-20 00:00:00,1,1,0,1,1
Ciutat Vella,2017-02-22 00:00:00,1,1,0,1,2
Ciutat Vella,2017-02-23 00:00:00,2,4,0,4,3
Ciutat Vella,2017-02-24 00:00:00,2,2,0,2,2
Ciutat Vella,2017-02-26 00:00:00,1,1,0,1,2
Ciutat Vella,2017-02-27 00:00:00,4,6,0,6,10
Ciutat Vella,2017-02-28 00:00:00,3,5,0,5,8
Ciutat Vella,2017-03-01 00:00:00,1,2,0,2,2
Ciutat Vella,2017-03-02 00:00:00,1,1,0,1,1
Ciutat Vella,2017-03-03 00:00:00,2,0,0,0,2
Ciutat Vella,2017-03-04 00:00:00,2,0,2,2,5
Ciutat Vella,2017-03-05 00:00:00,3,2,0,2,4
Ciutat Vella,2017-03-06 00:00:00,1,0,0,0,1
Ciutat Vella,2017-03-07 00:00:00,1,0,0,0,1
Ciutat Vella,2017-03-08 00:00:00,1,2,0,2,3
Ciutat Vella,2017-03-09 00:00:00,2,1,0,1,3
Ciutat Vella,2017-03-10 00:00:00,5,5,0,5,8
Ciutat Vella,2017-03-12 00:00:00,1,1,0,1,2
Ciutat Vella,2017-03-13 00:00:00,1,2,0,2,3
Ciutat Vella,2017-03-14 00:00:00,2,2,0,2,3
Ciutat Vella,2017-03-15 00:00:00,3,6,0,6,6
Ciutat Vella,2017-03-16 00:00:00,4,4,0,4,6
Ciutat Vella,2017-03-17 00:00:00,3,3,0,3,5
Ciutat Vella,2017-03-20 00:00:00,1,4,0,4,2
Ciutat Vella,2017-03-22 00:00:00,2,2,0,2,5
Ciutat Vella,2017-03-23 00:00:00,3,4,0,4,5
Ciutat Vella,2017-03-24 00:00:00,2,1,0,1,2
Ciutat Vella,2017-03-25 00:00:00,1,1,0,1,1
Ciutat Vella,2017-03-26 00:00:00,1,1,0,1,1
Ciutat Vella,2017-03-27 00:00:00,1,1,0,1,1
Ciutat Vella,2017-03-28 00:00:00,1,1,0,1,1
Ciutat Vella,2017-03-29 00:00:00,1,1,0,1,2
Ciutat Vella,2017-03-30 00:00:00,1,1,0,1,2
Ciutat Vella,2017-03-31 00:00:00,2,1,0,1,3
Ciutat Vella,2017-04-01 00:00:00,2,2,0,2,3
Ciutat Vella,2017-04-03 00:00:00,1,1,0,1,2
Ciutat Vella,2017-04-04 00:00:00,4,5,0,5,7
Ciutat Vella,2017-04-05 00:00:00,1,2,0,2,1
Ciutat Vella,2017-04-06 00:00:00,4,6,0,6,5
Ciutat Vella,2017-04-07 00:00:00,2,2,0,2,2
Ciutat Vella,2017-04-08 00:00:00,1,0,0,0,1
Ciutat Vella,2017-04-09 00:00:00,1,1,0,1,2
Ciutat Vella,2017-04-10 00:00:00,2,1,0,1,2
Ciutat Vella,2017-04-11 00:00:00,1,2,0,2,3
Ciutat Vella,2017-04-12 00:00:00,4,4,0,4,9
Ciutat Vella,2017-04-13 00:00:00,7,15,0,15,12
Ciutat Vella,2017-04-14 00:00:00,3,4,0,4,3
Ciutat Vella,2017-04-15 00:00:00,1,2,0,2,1
Ciutat Vella,2017-04-17 00:00:00,1,1,0,1,2
Ciutat Vella,2017-04-19 00:00:00,1,0,0,0,2
Ciutat Vella,2017-04-20 00:00:00,3,0,0,0,5
Ciutat Vella,2017-04-21 00:00:00,3,4,0,4,7
Ciutat Vella,2017-04-22 00:00:00,1,0,0,0,1
Ciutat Vella,2017-04-23 00:00:00,3,3,0,3,7
Ciutat Vella,2017-04-24 00:00:00,2,2,0,2,4
Ciutat Vella,2017-04-26 00:00:00,5,3,0,3,10
Ciutat Vella,2017-04-27 00:00:00,1,1,0,1,2
Ciutat Vella,2017-04-28 00:00:00,3,3,0,3,6
Ciutat Vella,2017-04-29 00:00:00,3,3,0,3,4
Ciutat Vella,2017-05-01 00:00:00,1,1,0,1,2
Ciutat Vella,2017-05-03 00:00:00,4,2,1,3,9
Ciutat Vella,2017-05-05 00:00:00,1,1,0,1,1
Ciutat Vella,2017-05-06 00:00:00,2,1,0,1,2
Ciutat Vella,2017-05-07 00:00:00,1,1,0,1,1
Ciutat Vella,2017-05-08 00:00:00,1,1,0,1,2
Ciutat Vella,2017-05-09 00:00:00,2,2,0,2,3
Ciutat Vella,2017-05-10 00:00:00,3,2,0,2,6
Ciutat Vella,2017-05-11 00:00:00,3,3,0,3,6
Ciutat Vella,2017-05-12 00:00:00,4,2,0,2,6
Ciutat Vella,2017-05-13 00:00:00,1,2,0,2,2
Ciutat Vella,2017-05-14 00:00:00,2,3,1,4,3
Ciutat Vella,2017-05-15 00:00:00,1,1,0,1,2
Ciutat Vella,2017-05-17 00:00:00,3,7,0,7,6
Ciutat Vella,2017-05-18 00:00:00,1,3,0,3,2
Ciutat Vella,2017-05-19 00:00:00,1,0,0,0,1
Ciutat Vella,2017-05-20 00:00:00,1,1,0,1,2
Ciutat Vella,2017-05-21 00:00:00,2,1,1,2,3
Ciutat Vella,2017-05-22 00:00:00,1,1,0,1,1
Ciutat Vella,2017-05-23 00:00:00,1,1,0,1,1
Ciutat Vella,2017-05-24 00:00:00,1,1,0,1,3
Ciutat Vella,2017-05-25 00:00:00,2,2,0,2,3
Ciutat Vella,2017-05-26 00:00:00,6,7,0,7,10
Ciutat Vella,2017-05-27 00:00:00,2,4,0,4,3
Ciutat Vella,2017-05-28 00:00:00,1,1,0,1,2
Ciutat Vella,2017-05-29 00:00:00,2,1,0,1,3
Ciutat Vella,2017-05-30 00:00:00,4,4,0,4,7
Ciutat Vella,2017-05-31 00:00:00,3,1,1,2,5
Ciutat Vella,2017-06-01 00:00:00,2,0,0,0,4
Ciutat Vella,2017-06-02 00:00:00,2,3,0,3,5
Ciutat Vella,2017-06-03 00:00:00,2,1,0,1,4
Ciutat Vella,2017-06-04 00:00:00,4,3,0,3,8
Ciutat Vella,2017-06-05 00:00:00,1,0,0,0,1
Ciutat Vella,2017-06-06 00:00:00,2,2,0,2,3
Ciutat Vella,2017-06-07 00:00:00,1,2,0,2,1
Ciutat Vella,2017-06-08 00:00:00,2,1,0,1,4
Ciutat Vella,2017-06-09 00:00:00,3,3,0,3,3
Ciutat Vella,2017-06-10 00:00:00,2,2,0,2,2
Ciutat Vella,2017-06-11 00:00:00,1,1,0,1,2
Ciutat Vella,2017-06-12 00:00:00,2,2,0,2,4
Ciutat Vella,2017-06-13 00:00:00,1,0,0,0,1
Ciutat Vella,2017-06-14 00:00:00,2,4,0,4,2
Ciutat Vella,2017-06-15 00:00:00,1,0,0,0,1
Ciutat Vella,2017-06-16 00:00:00,2,2,0,2,3
Ciutat Vella,2017-06-17 00:00:00,3,5,0,5,4
Ciutat Vella,2017-06-18 00:00:00,3,3,0,3,6
Ciutat Vella,2017-06-19 00:00:00,7,7,0,7,13
Ciutat Vella,2017-06-20 00:00:00,1,0,0,0,1
Ciutat Vella,2017-06-21 00:00:00,3,3,0,3,6
Ciutat Vella,2017-06-22 00:00:00,4,5,0,5,8
Ciutat Vella,2017-06-23 00:00:00,2,2,0,2,2
Ciutat Vella,2017-06-24 00:00:00,2,1,0,1,3
Ciutat Vella,2017-06-25 00:00:00,1,2,0,2,1
Ciutat Vella,2017-06-26 00:00:00,2,1,0,1,5
Ciutat Vella,2017-06-27 00:00:00,6,10,0,10,14
Ciutat Vella,2017-06-29 00:00:00,4,6,0,6,6
Ciutat Vella,2017-06-30 00:00:00,4,4,0,4,8
Ciutat Vella,2017-07-02 00:00:00,1,1,0,1,1
Ciutat Vella,2017-07-03 00:00:00,2,2,0,2,4
Ciutat Vella,2017-07-04 00:00:00,6,7,0,7,9
Ciutat Vella,2017-07-06 00:00:00,1,3,0,3,1
Ciutat Vella,2017-07-07 00:00:00,3,4,0,4,6
Ciutat Vella,2017-07-08 00:00:00,1,1,0,1,1
Ciutat Vella,2017-07-09 00:00:00,3,1,0,1,6
Ciutat Vella,2017-07-10 00:00:00,1,1,0,1,2
Ciutat Vella,2017-07-11 00:00:00,2,3,0,3,3
Ciutat Vella,2017-07-12 00:00:00,1,1,0,1,2
Ciutat Vella,2017-07-13 00:00:00,3,3,0,3,6
Ciutat Vella,2017-07-14 00:00:00,1,2,0,2,2
Ciutat Vella,2017-07-15 00:00:00,1,1,0,1,2
Ciutat Vella,2017-07-16 00:00:00,2,1,1,2,3
Ciutat Vella,2017-07-17 00:00:00,1,2,0,2,2
Ciutat Vella,2017-07-18 00:00:00,3,3,0,3,4
Ciutat Vella,2017-07-20 00:00:00,6,7,0,7,12
Ciutat Vella,2017-07-21 00:00:00,3,3,0,3,6
Ciutat Vella,2017-07-22 00:00:00,2,3,0,3,5
Ciutat Vella,2017-07-23 00:00:00,1,0,0,0,1
Ciutat Vella,2017-07-24 00:00:00,1,0,0,0,1
Ciutat Vella,2017-07-25 00:00:00,3,3,0,3,6
Ciutat Vella,2017-07-26 00:00:00,1,1,0,1,2
Ciutat Vella,2017-07-27 00:00:00,1,1,0,1,1
Ciutat Vella,2017-07-28 00:00:00,2,2,0,2,3
Ciutat Vella,2017-07-29 00:00:00,1,1,0,1,2
Ciutat Vella,2017-07-30 00:00:00,2,1,0,1,3
Ciutat Vella,2017-08-01 00:00:00,1,0,0,0,1
Ciutat Vella,2017-08-02 00:00:00,2,2,0,2,4
Ciutat Vella,2017-08-04 00:00:00,5,5,0,5,8
Ciutat Vella,2017-08-05 00:00:00,3,5,0,5,5
Ciutat Vella,2017-08-06 00:00:00,1,1,0,1,3
Ciutat Vella,2017-08-07 00:00:00,2,4,0,4,6
Ciutat Vella,2017-08-08 00:00:00,4,4,0,4,8
Ciutat Vella,2017-08-09 00:00:00,2,1,0,1,2
Ciutat Vella,2017-08-10 00:00:00,2,2,0,2,5
Ciutat Vella,2017-08-11 00:00:00,1,1,0,1,1
Ciutat Vella,2017-08-13 00:00:00,4,3,0,3,6
Ciutat Vella,2017-08-14 00:00:00,2,0,0,0,3
Ciutat Vella,2017-08-16 00:00:00,1,1,0,1,1
Ciutat Vella,2017-08-18 00:00:00,2,2,0,2,5
Ciutat Vella,2017-08-20 00:00:00,2,2,0,2,2
Ciutat Vella,2017-08-21 00:00:00,3,3,0,3,7
Ciutat Vella,2017-08-22 00:00:00,2,3,0,3,2
Ciutat Vella,2017-08-24 00:00:00,2,0,0,0,3
Ciutat Vella,2017-08-25 00:00:00,1,1,0,1,2
Ciutat Vella,2017-08-27 00:00:00,3,6,0,6,6
Ciutat Vella,2017-08-28 00:00:00,1,1,0,1,2
Ciutat Vella,2017-08-29 00:00:00,2,3,0,3,5
Ciutat Vella,2017-08-30 00:00:00,2,2,0,2,3
Ciutat Vella,2017-08-31 00:00:00,1,1,0,1,2
Ciutat Vella,2017-09-01 00:00:00,2,4,0,4,4
Ciutat Vella,2017-09-02 00:00:00,4,4,0,4,6
Ciutat Vella,2017-09-04 00:00:00,2,3,0,3,2
Ciutat Vella,2017-09-08 00:00:00,2,3,0,3,5
Ciutat Vella,2017-09-09 00:00:00,1,1,0,1,2
Ciutat Vella,2017-09-10 00:00:00,3,2,0,2,4
Ciutat Vella,2017-09-11 00:00:00,1,1,0,1,1
Ciutat Vella,2017-09-12 00:00:00,3,3,0,3,4
Ciutat Vella,2017-09-13 00:00:00,1,1,0,1,2
Ciutat Vella,2017-09-14 00:00:00,1,3,0,3,1
Ciutat Vella,2017-09-16 00:00:00,1,1,0,1,2
Ciutat Vella,2017-09-17 00:00:00,1,1,0,1,2
Ciutat Vella,2017-09-18 00:00:00,2,1,0,1,3
Ciutat Vella,2017-09-20 00:00:00,2,5,0,5,3
Ciutat Vella,2017-09-21 00:00:00,5,3,0,3,8
Ciutat Vella,2017-09-22 00:00:00,1,2,0,2,2
Ciutat Vella,2017-09-23 00:00:00,1,1,0,1,2
Ciutat Vella,2017-09-25 00:00:00,3,2,0,2,8
Ciutat Vella,2017-09-26 00:00:00,2,2,0,2,4
Ciutat Vella,2017-09-27 00:00:00,1,1,0,1,3
Ciutat Vella,2017-09-28 00:00:00,6,8,0,8,10
Ciutat Vella,2017-09-29 00:00:00,3,2,0,2,4
Ciutat Vella,2017-09-30 00:00:00,2,1,0,1,3
Ciutat Vella,2017-10-01 00:00:00,1,0,0,0,2
Ciutat Vella,2017-10-02 00:00:00,1,1,0,1,2
Ciutat Vella,2017-10-03 00:00:00,2,2,0,2,2
Ciutat Vella,2017-10-04 00:00:00,1,1,0,1,2
Ciutat Vella,2017-10-05 00:00:00,2,0,0,0,2
Ciutat Vella,2017-10-06 00:00:00,2,1,1,2,3
Ciutat Vella,2017-10-07 00:00:00,1,1,0,1,2
Ciutat Vella,2017-10-09 00:00:00,2,2,0,2,4
Ciutat Vella,2017-10-11 00:00:00,2,4,0,4,3
Ciutat Vella,2017-10-13 00:00:00,3,2,0,2,5
Ciutat Vella,2017-10-14 00:00:00,1,2,0,2,1
Ciutat Vella,2017-10-15 00:00:00,4,2,1,3,7
Ciutat Vella,2017-10-16 00:00:00,2,3,0,3,2
Ciutat Vella,2017-10-17 00:00:00,2,4,0,4,4
Ciutat Vella,2017-10-18 00:00:00,1,1,0,1,1
Ciutat Vella,2017-10-19 00:00:00,2,2,0,2,3
Ciutat Vella,2017-10-20 00:00:00,5,5,0,5,7
Ciutat Vella,2017-10-21 00:00:00,3,4,0,4,5
Ciutat Vella,2017-10-23 00:00:00,1,1,0,1,2
Ciutat Vella,2017-10-24 00:00:00,1,2,0,2,2
Ciutat Vella,2017-10-25 00:00:00,3,3,0,3,6
Ciutat Vella,2017-10-27 00:00:00,1,1,0,1,2
Ciutat Vella,2017-10-29 00:00:00,2,1,0,1,3
Ciutat Vella,2017-10-30 00:00:00,2,2,0,2,3
Ciutat Vella,2017-10-31 00:00:00,2,2,0,2,3
Ciutat Vella,2017-11-02 00:00:00,2,2,0,2,4
Ciutat Vella,2017-11-03 00:00:00,1,0,0,0,1
Ciutat Vella,2017-11-05 00:00:00,1,0,0,0,2
Ciutat Vella,2017-11-06 00:00:00,1,0,1,1,2
Ciutat Vella,2017-11-07 00:00:00,3,3,0,3,5
Ciutat Vella,2017-11-08 00:00:00,2,2,0,2,3
Ciutat Vella,2017-11-11 00:00:00,2,1,0,1,2
Ciutat Vella,2017-11-14 00:00:00,1,1,0,1,1
Ciutat Vella,2017-11-15 00:00:00,2,1,0,1,4
Ciutat Vella,2017-11-16 00:00:00,4,8,0,8,9
Ciutat Vella,2017-11-17 00:00:00,3,2,0,2,5
Ciutat Vella,2017-11-18 00:00:00,2,2,0,2,4
Ciutat Vella,2017-11-19 00:00:00,1,1,0,1,2
Ciutat Vella,2017-11-21 00:00:00,2,1,1,2,4
Ciutat Vella,2017-11-22 00:00:00,2,3,0,3,4
Ciutat Vella,2017-11-23 00:00:00,2,2,0,2,4
Ciutat Vella,2017-11-27 00:00:00,2,2,0,2,3
Ciutat Vella,2017-11-28 00:00:00,2,2,0,2,4
Ciutat Vella,2017-11-29 00:00:00,1,1,0,1,2
Ciutat Vella,2017-11-30 00:00:00,1,1,0,1,2
Ciutat Vella,2017-12-01 00:00:00,3,3,0,3,6
Ciutat Vella,2017-12-02 00:00:00,1,1,0,1,1
Ciutat Vella,2017-12-05 00:00:00,2,3,0,3,3
Ciutat Vella,2017-12-07 00:00:00,1,1,0,1,2
Ciutat Vella,2017-12-08 00:00:00,1,1,0,1,2
Ciutat Vella,2017-12-09 00:00:00,1,1,0,1,1
Ciutat Vella,2017-12-10 00:00:00,3,3,0,3,5
Ciutat Vella,2017-12-11 00:00:00,1,1,0,1,2
Ciutat Vella,2017-12-12 00:00:00,1,1,0,1,2
Ciutat Vella,2017-12-15 00:00:00,1,2,0,2,1
Ciutat Vella,2017-12-16 00:00:00,3,3,0,3,6
Ciutat Vella,2017-12-17 00:00:00,2,2,0,2,4
Ciutat Vella,2017-12-18 00:00:00,3,6,0,6,8
Ciutat Vella,2017-12-19 00:00:00,2,2,0,2,3
Ciutat Vella,2017-12-20 00:00:00,5,8,0,8,10
Ciutat Vella,2017-12-21 00:00:00,1,0,0,0,1
Ciutat Vella,2017-12-22 00:00:00,2,3,0,3,3
Ciutat Vella,2017-12-24 00:00:00,2,1,0,1,4
Ciutat Vella,2017-12-25 00:00:00,1,0,0,0,1
Ciutat Vella,2017-12-27 00:00:00,1,1,0,1,1
Ciutat Vella,2017-12-28 00:00:00,1,2,0,2,2
Ciutat Vella,2017-12-29 00:00:00,1,1,0,1,2
Ciutat Vella,2017-12-30 00:00:00,1,1,0,1,1
Eixample,2017-01-01 00:00:00,7,9,0,9,12
Eixample,2017-01-02 00:00:00,4,4,0,4,8
Eixample,2017-01-03 00:00:00,13,18,0,18,32
Eixample,2017-01-04 00:00:00,7,13,2,15,14
Eixample,2017-01-05 00:00:00,7,7,0,7,14
Eixample,2017-01-06 00:00:00,4,5,0,5,8
Eixample,2017-01-07 00:00:00,7,5,2,7,13
Eixample,2017-01-08 00:00:00,7,11,1,12,15
Eixample,2017-01-09 00:00:00,7,8,0,8,14
Eixample,2017-01-10 00:00:00,14,15,0,15,29
Eixample,2017-01-11 00:00:00,8,9,0,9,16
Eixample,2017-01-12 00:00:00,9,11,0,11,15
Eixample,2017-01-13 00:00:00,10,11,0,11,20
Eixample,2017-01-14 00:00:00,7,9,0,9,12
Eixample,2017-01-15 00:00:00,5,5,0,5,12
Eixample,2017-01-16 00:00:00,5,7,0,7,9
Eixample,2017-01-17 00:00:00,12,12,1,13,24
Eixample,2017-01-18 00:00:00,9,10,0,10,18
Eixample,2017-01-19 00:00:00,5,7,0,7,12
Eixample,2017-01-20 00:00:00,14,17,0,17,28
Eixample,2017-01-21 00:00:00,5,4,0,4,9
Eixample,2017-01-22 00:00:00,4,5,1,6,7
Eixample,2017-01-23 00:00:00,8,9,0,9,18
Eixample,2017-01-24 00:00:00,7,9,0,9,13
Eixample,2017-01-25 00:00:00,5,5,0,5,9
Eixample,2017-01-26 00:00:00,12,16,0,16,22
Eixample,2017-01-27 00:00:00,10,10,0,10,20
Eixample,2017-01-28 00:00:00,9,9,1,10,18
Eixample,2017-01-29 00:00:00,6,7,0,7,12
Eixample,2017-01-30 00:00:00,9,8,0,8,18
Eixample,2017-01-31 00:00:00,10,11,1,12,16
Eixample,2017-02-01 00:00:00,10,14,0,14,19
Eixample,2017-02-02 00:00:00,12,13,2,15,21
Eixample,2017-02-03 00:00:00,11,17,0,17,23
Eixample,2017-02-04 00:00:00,4,6,0,6,7
Eixample,2017-02-05 00:00:00,5,7,0,7,10
Eixample,2017-02-06 00:00:00,5,4,0,4,8
Eixample,2017-02-07 00:00:00,9,11,0,11,18
Eixample,2017-02-08 00:00:00,7,6,1,7,12
Eixample,2017-02-09 00:00:00,15,18,1,19,26
Eixample,2017-02-10 00:00:00,9,12,0,12,20
Eixample,2017-02-11 00:00:00,4,5,0,5,8
Eixample,2017-02-12 00:00:00,4,5,1,6,7
Eixample,2017-02-13 00:00:00,6,6,0,6,9
Eixample,2017-02-14 00:00:00,19,20,0,20,37
Eixample,2017-02-15 00:00:00,12,13,0,13,24
Eixample,2017-02-16 00:00:00,8,7,0,7,14
Eixample,2017-02-17 00:00:00,11,10,0,10,21
Eixample,2017-02-18 00:00:00,9,11,0,11,22
Eixample,2017-02-19 00:00:00,2,1,1,2,3
Eixample,2017-02-20 00:00:00,8,8,0,8,15
Eixample,2017-02-21 00:00:00,8,12,1,13,16
Eixample,2017-02-22 00:00:00,7,9,0,9,14
Eixample,2017-02-23 00:00:00,8,9,0,9,17
Eixample,2017-02-24 00:00:00,10,11,1,12,19
Eixample,2017-02-25 00:00:00,9,9,0,9,16
Eixample,2017-02-26 00:00:00,5,8,0,8,9
Eixample,2017-02-27 00:00:00,9,11,0,11,16
Eixample,2017-02-28 00:00:00,9,9,0,9,18
Eixample,2017-03-01 00:00:00,6,6,0,6,12
Eixample,2017-03-02 00:00:00,11,17,0,17,23
Eixample,2017-03-03 00:00:00,7,9,0,9,13
Eixample,2017-03-04 00:00:00,11,12,0,12,19
Eixample,2017-03-05 00:00:00,5,6,0,6,11
Eixample,2017-03-06 00:00:00,11,16,0,16,23
Eixample,2017-03-07 00:00:00,6,7,0,7,11
Eixample,2017-03-08 00:00:00,9,9,0,9,31
Eixample,2017-03-09 00:00:00,11,12,0,12,21
Eixample,2017-03-10 00:00:00,6,6,0,6,12
Eixample,2017-03-11 00:00:00,7,10,0,10,13
Eixample,2017-03-12 00:00:00,2,4,0,4,5
Eixample,2017-03-13 00:00:00,6,7,0,7,12
Eixample,2017-03-14 00:00:00,11,13,0,13,21
Eixample,2017-03-15 00:00:00,6,6,1,7,11
Eixample,2017-03-16 00:00:00,15,17,0,17,27
Eixample,2017-03-17 00:00:00,8,7,1,8,16
Eixample,2017-03-18 00:00:00,6,6,0,6,10
Eixample,2017-03-19 00:00:00,6,7,0,7,11
Eixample,2017-03-20 00:00:00,11,12,0,12,22
Eixample,2017-03-21 00:00:00,8,10,0,10,17
Eixample,2017-03-22 00:00:00,8,9,0,9,14
Eixample,2017-03-23 00:00:00,10,10,0,10,19
Eixample,2017-03-24 00:00:00,19,20,0,20,37
Eixample,2017-03-25 00:00:00,5,6,1,7,10
Eixample,2017-03-26 00:00:00,4,6,0,6,7
Eixample,2017-03-27 00:00:00,5,6,0,6,9
Eixample,2017-03-28 00:00:00,11,11,0,11,26
Eixample,2017-03-29 00:00:00,10,12,0,12,17
Eixample,2017-03-30 00:00:00,9,9,0,9,18
Eixample,2017-03-31 00:00:00,9,12,0,12,17
Eixample,2017-04-01 00:00:00,8,9,0,9,14
Eixample,2017-04-02 00:00:00,13,12,1,13,27
Eixample,2017-04-03 00:00:00,9,7,0,7,17
Eixample,2017-04-04 00:00:00,11,11,0,11,20
Eixample,2017-04-05 00:00:00,12,11,0,11,21
Eixample,2017-04-06 00:00:00,11,11,0,11,21
Eixample,2017-04-07 00:00:00,12,9,0,9,24
Eixample,2017-04-08 00:00:00,5,11,0,11,9
Eixample,2017-04-09 00:00:00,5,4,0,4,18
Eixample,2017-04-10 00:00:00,12,14,0,14,21
Eixample,2017-04-11 00:00:00,5,8,0,8,10
Eixample,2017-04-12 00:00:00,6,7,0,7,13
Eixample,2017-04-13 00:00:00,11,11,0,11,22
Eixample,2017-04-14 00:00:00,7,6,1,7,12
Eixample,2017-04-15 00:00:00,6,7,0,7,12
Eixample,2017-04-16 00:00:00,3,3,1,4,4
Eixample,2017-04-17 00:00:00,2,2,0,2,3
Eixample,2017-04-18 00:00:00,10,13,0,13,24
Eixample,2017-04-19 00:00:00,10,16,0,16,21
Eixample,2017-04-20 00:00:00,11,9,0,9,21
Eixample,2017-04-21 00:00:00,17,14,0,14,31
Eixample,2017-04-22 00:00:00,6,5,0,5,11
Eixample,2017-04-23 00:00:00,4,4,0,4,6
Eixample,2017-04-24 00:00:00,8,8,0,8,16
Eixample,2017-04-25 00:00:00,12,13,1,14,22
Eixample,2017-04-26 00:00:00,7,6,0,6,15
Eixample,2017-04-27 00:00:00,12,11,1,12,20
Eixample,2017-04-28 00:00:00,9,10,0,10,17
Eixample,2017-04-29 00:00:00,9,12,1,13,20
Eixample,2017-04-30 00:00:00,4,3,0,3,11
Eixample,2017-05-01 00:00:00,5,7,0,7,11
Eixample,2017-05-02 00:00:00,12,13,1,14,24
Eixample,2017-05-03 00:00:00,9,8,0,8,17
Eixample,2017-05-04 00:00:00,13,18,0,18,25
Eixample,2017-05-05 00:00:00,4,5,0,5,9
Eixample,2017-05-06 00:00:00,7,9,0,9,14
Eixample,2017-05-07 00:00:00,10,12,0,12,22
Eixample,2017-05-08 00:00:00,8,7,0,7,17
Eixample,2017-05-09 00:00:00,17,17,2,19,36
Eixample,2017-05-10 00:00:00,9,11,0,11,19
Eixample,2017-05-11 00:00:00,10,14,0,14,19
Eixample,2017-05-12 00:00:00,12,12,0,12,24
Eixample,2017-05-13 00:00:00,6,7,0,7,9
Eixample,2017-05-14 00:00:00,8,11,0,11,14
Eixample,2017-05-15 00:00:00,12,14,0,14,24
Eixample,2017-05-16 00:00:00,4,4,0,4,8
Eixample,2017-05-17 00:00:00,8,12,0,12,14
Eixample,2017-05-18 00:00:00,12,15,0,15,23
Eixample,2017-05-19 00:00:00,7,9,0,9,14
Eixample,2017-05-20 00:00:00,12,14,0,14,21
Eixample,2017-05-21 00:00:00,7,7,0,7,14
Eixample,2017-05-22 00:00:00,12,12,0,12,23
Eixample,2017-05-23 00:00:00,10,12,0,12,21
Eixample,2017-05-24 00:00:00,8,8,0,8,17
Eixample,2017-05-25 00:00:00,8,11,0,11,16
Eixample,2017-05-26 00:00:00,16,14,2,16,30
Eixample,2017-05-27 00:00:00,3,4,0,4,5
Eixample,2017-05-28 00:00:00,4,4,0,4,7
Eixample,2017-05-29 00:00:00,11,14,0,14,21
Eixample,2017-05-30 00:00:00,10,11,1,12,18
Eixample,2017-05-31 00:00:00,13,16,0,16,26
Eixample,2017-06-01 00:00:00,9,11,0,11,18
Eixample,2017-06-02 00:00:00,6,4,0,4,14
Eixample,2017-06-03 00:00:00,5,5,0,5,12
Eixample,2017-06-04 00:00:00,6,7,1,8,12
Eixample,2017-06-05 00:00:00,3,4,0,4,5
Eixample,2017-06-06 00:00:00,16,23,0,23,31
