city,temp_max_F
"Los Angeles, CA",74.0
"Chicago, IL",85.0
"Kansas City, MO",87.0
"Atlanta, GA",53.0
"Dallas, TX",83.0
"Seattle, WA",54.0
"San Francisco, CA",68.0
"Seattle, WA",46.0
"Dallas, TX",91.0
"Miami, FL",89.0
"Seattle, WA",48.0
"Dallas, TX",65.0
"Denver, CO",58.0
"Seattle, WA",70.0
"Chicago, IL",83.0
"San Francisco, CA",74.0
"New York City, NY",85.0
"Seattle, WA",55.0
"New York City, NY",37.0
"Kansas City, MO",32.0
"San Francisco, CA",68.0
"Atlanta, GA",77.0
"Dallas, TX",98.0
"Los Angeles, CA",67.0
"New York City, NY",42.0
"Chicago, IL",62.0
"Miami, FL",87.0
"Kansas City, MO",85.0
"Miami, FL",77.0
"Kansas City, MO",46.0
"Chicago, IL",2.0
"Denver, CO",97.0
"Kansas City, MO",74.0
"Los Angeles, CA",68.0
"Miami, FL",92.0
"Los Angeles, CA",76.0
"Dallas, TX",97.0
"Miami, FL",88.0
"Atlanta, GA",56.0
"Seattle, WA",57.0
"Washington, DC",71.0
"Seattle, WA",65.0
"New York City, NY",33.0
"New York City, NY",64.0
"Atlanta, GA",74.0
"Chicago, IL",55.0
"San Francisco, CA",65.0
"Washington, DC",81.0
"Denver, CO",82.0
"Los Angeles, CA",71.0
"Miami, FL",90.0
"Miami, FL",89.0
"Los Angeles, CA",62.0
"Washington, DC",95.0
"Atlanta, GA",39.0
"Washington, DC",53.0
"San Francisco, CA",57.0
"Washington, DC",69.0
"New York City, NY",55.0
"Seattle, WA",46.0
"New York City, NY",78.0
"San Francisco, CA",61.0
"Miami, FL",75.0
"San Francisco, CA",76.0
"Kansas City, MO",36.0
"San Francisco, CA",89.0
"Kansas City, MO",88.0
"Miami, FL",80.0
"Dallas, TX",82.0
"Seattle, WA",45.0
"Kansas City, MO",46.0
"Washington, DC",76.0
"Atlanta, GA",92.0
"Atlanta, GA",81.0
"Los Angeles, CA",65.0
"Miami, FL",86.0
"Atlanta, GA",86.0
"Miami, FL",84.0
"Atlanta, GA",79.0
"Dallas, TX",86.0
"Los Angeles, CA",63.0
"New York City, NY",54.0
"Seattle, WA",85.0
"Denver, CO",66.0
"Los Angeles, CA",71.0
"Denver, CO",72.0
"Chicago, IL",62.0
"Dallas, TX",95.0
"Washington, DC",95.0
"New York City, NY",49.0
"Washington, DC",70.0
"Dallas, TX",47.0
"Los Angeles, CA",73.0
"Los Angeles, CA",65.0
"Chicago, IL",74.0
"Chicago, IL",40.0
"Denver, CO",42.0
"San Francisco, CA",68.0
"San Francisco, CA",69.0
"Dallas, TX",42.0
"Washington, DC",96.0
"Kansas City, MO",72.0
"Dallas, TX",82.0
"Chicago, IL",72.0
"Atlanta, GA",54.0
"Washington, DC",71.0
"Miami, FL",82.0
"Seattle, WA",75.0
"San Francisco, CA",87.0
"Chicago, IL",94.0
"Dallas, TX",91.0
"Seattle, WA",69.0
"Atlanta, GA",40.0
"Chicago, IL",80.0
"Miami, FL",83.0
"Denver, CO",68.0
"Dallas, TX",55.0
"Miami, FL",93.0
"Atlanta, GA",62.0
"Washington, DC",87.0
"Miami, FL",91.0
"New York City, NY",53.0
"Chicago, IL",39.0
"Washington, DC",84.0
"Denver, CO",75.0
"San Francisco, CA",86.0
"Dallas, TX",76.0
"Denver, CO",92.0
"Washington, DC",92.0
"Atlanta, GA",70.0
"Denver, CO",86.0
"Los Angeles, CA",75.0
"Kansas City, MO",79.0
"Miami, FL",73.0
"Kansas City, MO",78.0
"Miami, FL",77.0
"Seattle, WA",58.0
"Atlanta, GA",68.0
"Los Angeles, CA",62.0
"Los Angeles, CA",75.0
"Denver, CO",84.0
"Washington, DC",74.0
"New York City, NY",77.0
"Atlanta, GA",60.0
"New York City, NY",65.0
"Denver, CO",85.0
"Washington, DC",76.0
"Denver, CO",52.0
"Kansas City, MO",38.0
"Chicago, IL",83.0
"Dallas, TX",86.0
"Dallas, TX",52.0
"Miami, FL",92.0
"Washington, DC",95.0
"Miami, FL",90.0
"Los Angeles, CA",66.0
"Kansas City, MO",72.0
"Miami, FL",82.0
"San Francisco, CA",66.0
"Washington, DC",72.0
"Chicago, IL",88.0
"Dallas, TX",63.0
"Chicago, IL",34.0
"Los Angeles, CA",65.0
"Seattle, WA",78.0
"Washington, DC",69.0
"Chicago, IL",50.0
"Denver, CO",87.0
"Seattle, WA",70.0
"Chicago, IL",38.0
"New York City, NY",62.0
"Washington, DC",48.0
"San Francisco, CA",56.0
"Seattle, WA",60.0
"Washington, DC",32.0
"Dallas, TX",89.0
"Denver, CO",72.0
"Chicago, IL",74.0
"Kansas City, MO",48.0
"Dallas, TX",94.0
"Miami, FL",90.0
"Kansas City, MO",90.0
"New York City, NY",41.0
"San Francisco, CA",61.0
"New York City, NY",45.0
"Dallas, TX",101.0
"Seattle, WA",65.0
"Washington, DC",57.0
"Dallas, TX",76.0
"Kansas City, MO",23.0
"Seattle, WA",55.0
"Dallas, TX",70.0
"Washington, DC",42.0
"Kansas City, MO",100.0
"New York City, NY",72.0
"Kansas City, MO",74.0
"Miami, FL",80.0
"Dallas, TX",93.0
"Chicago, IL",91.0
"New York City, NY",86.0
"Atlanta, GA",71.0
"Denver, CO",40.0
"Chicago, IL",64.0
"Miami, FL",79.0
"Miami, FL",78.0
"San Francisco, CA",69.0
"Kansas City, MO",86.0
"Los Angeles, CA",65.0
"Kansas City, MO",88.0
"New York City, NY",71.0
"San Francisco, CA",83.0
"Atlanta, GA",56.0
"Dallas, TX",93.0
"Seattle, WA",57.0
"Dallas, TX",34.0
"Atlanta, GA",83.0
"New York City, NY",80.0
"Atlanta, GA",54.0
"New York City, NY",67.0
"Miami, FL",93.0
"Miami, FL",90.0
"San Francisco, CA",56.0
"New York City, NY",78.0
"Seattle, WA",64.0
"Los Angeles, CA",81.0
"Seattle, WA",80.0
"Los Angeles, CA",68.0
"Atlanta, GA",85.0
"Dallas, TX",75.0
"San Francisco, CA",59.0
"Atlanta, GA",87.0
"Denver, CO",71.0
"Kansas City, MO",26.0
"Los Angeles, CA",72.0
"Atlanta, GA",93.0
"Washington, DC",81.0
"Dallas, TX",95.0
"San Francisco, CA",60.0
"Dallas, TX",57.0
"Miami, FL",85.0
"Chicago, IL",64.0
"Denver, CO",81.0
"New York City, NY",56.0
"New York City, NY",53.0
"Denver, CO",53.0
"Washington, DC",39.0
"New York City, NY",44.0
"Dallas, TX",95.0
"Seattle, WA",60.0
"Dallas, TX",87.0
"Chicago, IL",34.0
"Dallas, TX",49.0
"Washington, DC",52.0
"Kansas City, MO",56.0
"Kansas City, MO",92.0
"Seattle, WA",73.0
"Seattle, WA",72.0
"Washington, DC",71.0
"Dallas, TX",90.0
"Miami, FL",84.0
"Seattle, WA",83.0
"Washington, DC",71.0
"Dallas, TX",62.0
"Los Angeles, CA",72.0
"Kansas City, MO",35.0
"Los Angeles, CA",75.0
"San Francisco, CA",82.0
"Dallas, TX",95.0
"Denver, CO",81.0
"Dallas, TX",75.0
"Chicago, IL",58.0
"Kansas City, MO",86.0
"Atlanta, GA",86.0
"Seattle, WA",68.0
"Washington, DC",80.0
"Chicago, IL",70.0
"Dallas, TX",77.0
"Atlanta, GA",88.0
"New York City, NY",89.0
"Atlanta, GA",75.0
"New York City, NY",61.0
"San Francisco, CA",84.0
"San Francisco, CA",83.0
"Miami, FL",78.0
"Atlanta, GA",92.0
"Miami, FL",86.0
"Kansas City, MO",88.0
"Kansas City, MO",50.0
"Miami, FL",66.0
"Atlanta, GA",85.0
"New York City, NY",72.0
"Atlanta, GA",53.0
"Dallas, TX",100.0
"New York City, NY",85.0
"Los Angeles, CA",72.0
"Kansas City, MO",76.0
"Dallas, TX",79.0
"Chicago, IL",16.0
"New York City, NY",53.0
"Dallas, TX",90.0
"Atlanta, GA",68.0
"Seattle, WA",55.0
"San Francisco, CA",54.0
"Denver, CO",82.0
"Kansas City, MO",61.0
"Chicago, IL",44.0
"Miami, FL",85.0
"Dallas, TX",82.0
"New York City, NY",80.0
"New York City, NY",55.0
"Atlanta, GA",38.0
"Kansas City, MO",85.0
"Kansas City, MO",85.0
"Los Angeles, CA",70.0
"Dallas, TX",75.0
"Denver, CO",56.0
"Atlanta, GA",76.0
"Denver, CO",74.0
"Dallas, TX",71.0
"Kansas City, MO",37.0
"San Francisco, CA",66.0
"Atlanta, GA",62.0
"Washington, DC",51.0
"San Francisco, CA",66.0
"Kansas City, MO",80.0
"Chicago, IL",81.0
"Kansas City, MO",81.0
"Chicago, IL",89.0
"Washington, DC",76.0
"Denver, CO",33.0
"Atlanta, GA",68.0
"Miami, FL",89.0
"Kansas City, MO",35.0
"Chicago, IL",53.0
"Atlanta, GA",89.0
"Chicago, IL",36.0
"Chicago, IL",82.0
"Dallas, TX",75.0
"Washington, DC",62.0
"Denver, CO",79.0
"Chicago, IL",36.0
"Dallas, TX",71.0
"San Francisco, CA",75.0
"Miami, FL",93.0
"Los Angeles, CA",69.0
"Atlanta, GA",69.0
"Seattle, WA",78.0
"San Francisco, CA",59.0
"New York City, NY",39.0
"San Francisco, CA",68.0
"Washington, DC",77.0
"Kansas City, MO",53.0
"Kansas City, MO",90.0
"Atlanta, GA",87.0
"Washington, DC",35.0
"New York City, NY",78.0
"Atlanta, GA",85.0
"Dallas, TX",88.0
"Atlanta, GA",83.0
"Los Angeles, CA",71.0
"Denver, CO",97.0
"Miami, FL",82.0
"Seattle, WA",80.0
"New York City, NY",68.0
"Chicago, IL",68.0
"New York City, NY",43.0
"Washington, DC",30.0
"Washington, DC",43.0
"New York City, NY",80.0
"San Francisco, CA",72.0
"Seattle, WA",69.0
"New York City, NY",38.0
"San Francisco, CA",66.0
"Dallas, TX",104.0
"Dallas, TX",97.0
"Chicago, IL",13.0
"Los Angeles, CA",61.0
"San Francisco, CA",69.0
"Denver, CO",52.0
"Seattle, WA",47.0
"Seattle, WA",62.0
"Chicago, IL",73.0
"Dallas, TX",81.0
"Miami, FL",92.0
"New York City, NY",83.0
"Los Angeles, CA",70.0
"Atlanta, GA",85.0
"San Francisco, CA",71.0
"Washington, DC",92.0
"Seattle, WA",51.0
"San Francisco, CA",71.0
"Dallas, TX",96.0
"Los Angeles, CA",76.0
"New York City, NY",85.0
"Miami, FL",79.0
"New York City, NY",57.0
"Atlanta, GA",86.0
"Kansas City, MO",76.0
"Kansas City, MO",30.0
"Denver, CO",40.0
"Washington, DC",78.0
"Chicago, IL",64.0
"Dallas, TX",85.0
"Atlanta, GA",63.0
"San Francisco, CA",61.0
"Washington, DC",86.0
"Los Angeles, CA",66.0
"Dallas, TX",58.0
"Los Angeles, CA",76.0
"Atlanta, GA",76.0
"Dallas, TX",46.0
"Washington, DC",77.0
"Washington, DC",73.0
"Atlanta, GA",79.0
"San Francisco, CA",67.0
"Chicago, IL",47.0
"San Francisco, CA",59.0
"San Francisco, CA",60.0
"Dallas, TX",95.0
"Miami, FL",77.0
"New York City, NY",67.0
"Atlanta, GA",81.0
"San Francisco, CA",57.0
"New York City, NY",44.0
"Seattle, WA",37.0
"Atlanta, GA",66.0
"San Francisco, CA",80.0
"Washington, DC",83.0
"New York City, NY",89.0
"Kansas City, MO",79.0
"San Francisco, CA",65.0
"Atlanta, GA",82.0
"Washington, DC",71.0
"Miami, FL",85.0
"Miami, FL",88.0
"Atlanta, GA",89.0
"Seattle, WA",56.0
"Los Angeles, CA",59.0
"Washington, DC",92.0
"Atlanta, GA",80.0
"Denver, CO",48.0
"New York City, NY",40.0
"Kansas City, MO",59.0
"Denver, CO",65.0
"Atlanta, GA",69.0
"Seattle, WA",48.0
"San Francisco, CA",72.0
"Miami, FL",88.0
"Chicago, IL",63.0
"Kansas City, MO",87.0
"Chicago, IL",86.0
"Denver, CO",72.0
"Dallas, TX",60.0
"Seattle, WA",55.0
"Los Angeles, CA",73.0
"San Francisco, CA",69.0
"Kansas City, MO",54.0
"Seattle, WA",61.0
"New York City, NY",41.0
"Washington, DC",75.0
"San Francisco, CA",71.0
"San Francisco, CA",71.0
"Seattle, WA",77.0
"Seattle, WA",63.0
"Denver, CO",
"San Francisco, CA",62.0
"New York City, NY",82.0
"San Francisco, CA",57.0
"Atlanta, GA",83.0
"Washington, DC",96.0
"Washington, DC",78.0
"New York City, NY",32.0
"San Francisco, CA",60.0
"San Francisco, CA",59.0
"Denver, CO",33.0
"Kansas City, MO",45.0
"Atlanta, GA",72.0
"Denver, CO",68.0
"Kansas City, MO",34.0
"New York City, NY",87.0
"Dallas, TX",92.0
"Miami, FL",92.0
"Kansas City, MO",47.0
"Los Angeles, CA",58.0
"New York City, NY",80.0
"Washington, DC",72.0
"Atlanta, GA",88.0
"Dallas, TX",99.0
"Atlanta, GA",52.0
"Dallas, TX",52.0
"Seattle, WA",61.0
"Washington, DC",96.0
"Dallas, TX",82.0
"Los Angeles, CA",58.0
"New York City, NY",47.0
"Denver, CO",53.0
"Los Angeles, CA",63.0
"Seattle, WA",63.0
"Kansas City, MO",35.0
"Seattle, WA",56.0
"Dallas, TX",73.0
"Seattle, WA",56.0
"Miami, FL",87.0
"Miami, FL",93.0
"Dallas, TX",82.0
"Washington, DC",49.0
"Kansas City, MO",55.0
"Atlanta, GA",52.0
"Seattle, WA",47.0
"Washington, DC",33.0
"Los Angeles, CA",83.0
"Atlanta, GA",51.0
"Washington, DC",78.0
"San Francisco, CA",59.0
"Kansas City, MO",50.0
"Los Angeles, CA",69.0
"Atlanta, GA",62.0
"Atlanta, GA",70.0
"Seattle, WA",82.0
"New York City, NY",82.0
"Seattle, WA",62.0
"San Francisco, CA",74.0
"Denver, CO",38.0
"Seattle, WA",49.0
"Washington, DC",47.0
"San Francisco, CA",60.0
"San Francisco, CA",65.0
"New York City, NY",77.0
"Seattle, WA",51.0
"Atlanta, GA",51.0
"Dallas, TX",75.0
"Dallas, TX",92.0
"Atlanta, GA",52.0
"Seattle, WA",71.0
"Kansas City, MO",32.0
"Atlanta, GA",73.0
"Atlanta, GA",57.0
"Washington, DC",68.0
"Washington, DC",72.0
"Denver, CO",49.0
"Seattle, WA",30.0
"Dallas, TX",98.0
"Washington, DC",59.0
"Los Angeles, CA",70.0
"Los Angeles, CA",62.0
"Los Angeles, CA",68.0
"Los Angeles, CA",88.0
"San Francisco, CA",55.0
"Washington, DC",38.0
"Miami, FL",95.0
"Atlanta, GA",92.0
"Seattle, WA",71.0
"Los Angeles, CA",71.0
"Washington, DC",88.0
"San Francisco, CA",60.0
"Los Angeles, CA",56.0
"San Francisco, CA",54.0
"San Francisco, CA",61.0
"Washington, DC",84.0
"San Francisco, CA",75.0
"Miami, FL",84.0
"Los Angeles, CA",54.0
"San Francisco, CA",57.0
"San Francisco, CA",65.0
"New York City, NY",41.0
"Washington, DC",50.0
"San Francisco, CA",77.0
"New York City, NY",64.0
"San Francisco, CA",58.0
"Denver, CO",7.0
"Washington, DC",93.0
"Chicago, IL",85.0
"Chicago, IL",81.0
"New York City, NY",77.0
"San Francisco, CA",67.0
"Seattle, WA",51.0
"Seattle, WA",71.0
"Kansas City, MO",61.0
"Chicago, IL",33.0
"Dallas, TX",86.0
"Dallas, TX",54.0
"Atlanta, GA",53.0
"Washington, DC",90.0
"New York City, NY",66.0
"Washington, DC",61.0
"Dallas, TX",93.0
"Seattle, WA",60.0
"San Francisco, CA",92.0
"Kansas City, MO",74.0
"Los Angeles, CA",67.0
"Seattle, WA",44.0
"New York City, NY",65.0
"Dallas, TX",61.0
"Seattle, WA",48.0
"Miami, FL",77.0
"San Francisco, CA",70.0
"San Francisco, CA",67.0
"Los Angeles, CA",66.0
"Washington, DC",68.0
"San Francisco, CA",73.0
"Denver, CO",25.0
"Los Angeles, CA",75.0
"Miami, FL",81.0
"Kansas City, MO",58.0
"Dallas, TX",97.0
"Seattle, WA",51.0
"Atlanta, GA",93.0
"New York City, NY",84.0
"New York City, NY",32.0
"Denver, CO",
"Dallas, TX",30.0
"Kansas City, MO",35.0
"Atlanta, GA",82.0
"Miami, FL",70.0
"Chicago, IL",89.0
"Miami, FL",81.0
"Seattle, WA",78.0
"New York City, NY",84.0
"Atlanta, GA",41.0
"Miami, FL",84.0
"Kansas City, MO",73.0
"Dallas, TX",88.0
"Seattle, WA",79.0
"Kansas City, MO",61.0
"Chicago, IL",91.0
"Chicago, IL",58.0
"San Francisco, CA",59.0
"New York City, NY",62.0
"Kansas City, MO",84.0
"Miami, FL",91.0
"New York City, NY",23.0
"San Francisco, CA",53.0
"Dallas, TX",50.0
"Atlanta, GA",84.0
"New York City, NY",90.0
"New York City, NY",71.0
"Chicago, IL",75.0
"Seattle, WA",54.0
"New York City, NY",86.0
"Dallas, TX",82.0
"Atlanta, GA",53.0
"San Francisco, CA",62.0
"Seattle, WA",55.0
"San Francisco, CA",65.0
"Dallas, TX",85.0
"Kansas City, MO",74.0
"San Francisco, CA",70.0
"Denver, CO",102.0
"New York City, NY",52.0
"New York City, NY",79.0
"Chicago, IL",53.0
"Seattle, WA",70.0
"Seattle, WA",69.0
"Chicago, IL",35.0
"New York City, NY",47.0
"Atlanta, GA",82.0
"Dallas, TX",97.0
"Dallas, TX",66.0
"San Francisco, CA",61.0
"Denver, CO",72.0
"Washington, DC",91.0
"Chicago, IL",40.0
"Atlanta, GA",88.0
"Kansas City, MO",62.0
"Miami, FL",85.0
"Denver, CO",89.0
"Washington, DC",92.0
"Miami, FL",84.0
"San Francisco, CA",72.0
"Kansas City, MO",82.0
"Kansas City, MO",87.0
"Miami, FL",94.0
"Kansas City, MO",85.0
"Atlanta, GA",84.0
"Seattle, WA",75.0
"Chicago, IL",90.0
"Seattle, WA",42.0
"Chicago, IL",60.0
"Atlanta, GA",43.0
"New York City, NY",25.0
"Kansas City, MO",84.0
"Miami, FL",90.0
"Seattle, WA",67.0
"Washington, DC",77.0
"Miami, FL",88.0
"Chicago, IL",70.0
"Dallas, TX",69.0
"San Francisco, CA",59.0
"Kansas City, MO",47.0
"Washington, DC",97.0
"San Francisco, CA",53.0
"Dallas, TX",89.0
"Kansas City, MO",103.0
"Miami, FL",85.0
"Washington, DC",50.0
"Atlanta, GA",94.0
"Chicago, IL",37.0
"Miami, FL",89.0
"Dallas, TX",97.0
"Chicago, IL",88.0
"New York City, NY",77.0
"San Francisco, CA",68.0
"Dallas, TX",94.0
"Miami, FL",88.0
"Los Angeles, CA",82.0
"Miami, FL",85.0
"Atlanta, GA",82.0
"Seattle, WA",42.0
"Los Angeles, CA",65.0
"San Francisco, CA",53.0
"Atlanta, GA",83.0
"New York City, NY",84.0
"Atlanta, GA",56.0
"Seattle, WA",54.0
"Chicago, IL",15.0
"New York City, NY",61.0
"San Francisco, CA",68.0
"Miami, FL",88.0
"San Francisco, CA",62.0
"Dallas, TX",52.0
"New York City, NY",64.0
"New York City, NY",42.0
"New York City, NY",71.0
"Seattle, WA",73.0
"Kansas City, MO",81.0
"Chicago, IL",75.0
"Washington, DC",67.0
"New York City, NY",54.0
"Miami, FL",85.0
"Miami, FL",80.0
"Washington, DC",52.0
"Seattle, WA",55.0
"Dallas, TX",87.0
"New York City, NY",80.0
"Seattle, WA",54.0
"San Francisco, CA",67.0
"San Francisco, CA",61.0
"Dallas, TX",80.0
"Denver, CO",53.0
"Denver, CO",83.0
"Atlanta, GA",71.0
"Miami, FL",84.0
"Miami, FL",77.0
"Dallas, TX",37.0
"Washington, DC",84.0
"Dallas, TX",86.0
"Washington, DC",92.0
"Denver, CO",58.0
"Atlanta, GA",82.0
"San Francisco, CA",58.0
"Miami, FL",88.0
"Los Angeles, CA",62.0
"Denver, CO",71.0
"Seattle, WA",58.0
"New York City, NY",73.0
"Atlanta, GA",64.0
"Los Angeles, CA",62.0
"Dallas, TX",87.0
"Los Angeles, CA",70.0
"Dallas, TX",96.0
"San Francisco, CA",61.0
"New York City, NY",73.0
"Miami, FL",81.0
"New York City, NY",64.0
"Miami, FL",80.0
"Washington, DC",39.0
"Kansas City, MO",43.0
"San Francisco, CA",71.0
"Dallas, TX",75.0
"New York City, NY",68.0
"Seattle, WA",84.0
"New York City, NY",54.0
"Seattle, WA",73.0
"San Francisco, CA",64.0
"Chicago, IL",17.0
"Atlanta, GA",57.0
"Kansas City, MO",32.0
"Washington, DC",95.0
"Washington, DC",68.0
"Kansas City, MO",86.0
"Los Angeles, CA",91.0
"Washington, DC",43.0
"San Francisco, CA",84.0
"Washington, DC",51.0
"Atlanta, GA",69.0
"Denver, CO",62.0
"New York City, NY",81.0
"Denver, CO",56.0
"Dallas, TX",71.0
"Kansas City, MO",85.0
"Denver, CO",62.0
"Dallas, TX",65.0
"Atlanta, GA",85.0
"Seattle, WA",59.0
"Chicago, IL",88.0
"Kansas City, MO",41.0
"Miami, FL",86.0
"San Francisco, CA",68.0
"Seattle, WA",64.0
"Miami, FL",84.0
"Dallas, TX",55.0
"New York City, NY",30.0
"Atlanta, GA",81.0
"Washington, DC",45.0
"Washington, DC",79.0
"Atlanta, GA",86.0
"Dallas, TX",75.0
"Dallas, TX",76.0
"Seattle, WA",66.0
"San Francisco, CA",89.0
"Chicago, IL",89.0
"Miami, FL",90.0
"Atlanta, GA",76.0
"Dallas, TX",79.0
"Los Angeles, CA",71.0
"San Francisco, CA",83.0
"Los Angeles, CA",75.0
"Los Angeles, CA",75.0
"Chicago, IL",41.0
"Los Angeles, CA",77.0
"Miami, FL",84.0
"Miami, FL",82.0
"Miami, FL",92.0
"Los Angeles, CA",70.0
"Los Angeles, CA",66.0
"Dallas, TX",60.0
"Los Angeles, CA",90.0
"New York City, NY",70.0
"Seattle, WA",60.0
"New York City, NY",69.0
"Denver, CO",42.0
"Chicago, IL",77.0
"Kansas City, MO",71.0
"Kansas City, MO",57.0
"Seattle, WA",70.0
"Atlanta, GA",84.0
"San Francisco, CA",68.0
"Chicago, IL",100.0
"Kansas City, MO",68.0
"New York City, NY",65.0
"New York City, NY",63.0
"Atlanta, GA",67.0
"Atlanta, GA",45.0
"Washington, DC",84.0
"Kansas City, MO",88.0
"San Francisco, CA",76.0
"Atlanta, GA",72.0
"Kansas City, MO",78.0
"Washington, DC",57.0
"Dallas, TX",73.0
"Washington, DC",59.0
"Kansas City, MO",51.0
"Chicago, IL",40.0
"Washington, DC",74.0
"Washington, DC",83.0
"San Francisco, CA",56.0
"Atlanta, GA",53.0
"Washington, DC",40.0
"Dallas, TX",87.0
"Atlanta, GA",83.0
"Los Angeles, CA",81.0
"Los Angeles, CA",74.0
"San Francisco, CA",74.0
"Seattle, WA",67.0
"Seattle, WA",76.0
"Los Angeles, CA",81.0
"Los Angeles, CA",78.0
"Los Angeles, CA",67.0
"Los Angeles, CA",75.0
"Miami, FL",92.0
"Los Angeles, CA",88.0
"San Francisco, CA",81.0
"New York City, NY",64.0
"Denver, CO",43.0
"Denver, CO",37.0
"San Francisco, CA",67.0
"Chicago, IL",36.0
"Chicago, IL",52.0
"Atlanta, GA",58.0
"Miami, FL",84.0
"Kansas City, MO",38.0
"Chicago, IL",85.0
"Chicago, IL",65.0
"Atlanta, GA",39.0
"Atlanta, GA",71.0
"Los Angeles, CA",69.0
"Los Angeles, CA",77.0
"Miami, FL",89.0
"Chicago, IL",56.0
"Los Angeles, CA",74.0
"Atlanta, GA",55.0
"Miami, FL",82.0
"Dallas, TX",68.0
"Seattle, WA",53.0
"Washington, DC",27.0
"San Francisco, CA",59.0
"Denver, CO",66.0
"Chicago, IL",52.0
"Los Angeles, CA",59.0
"Seattle, WA",44.0
"Kansas City, MO",73.0
"Chicago, IL",84.0
"Washington, DC",87.0
"Chicago, IL",34.0
"Chicago, IL",24.0
"San Francisco, CA",64.0
"Los Angeles, CA",67.0
"Seattle, WA",51.0
"Chicago, IL",70.0
"Los Angeles, CA",73.0
"Miami, FL",77.0
"New York City, NY",55.0
"Seattle, WA",43.0
"Seattle, WA",79.0
"Dallas, TX",62.0
"Kansas City, MO",42.0
"Seattle, WA",44.0
"Los Angeles, CA",60.0
"Atlanta, GA",90.0
"Washington, DC",90.0
"Chicago, IL",69.0
"Washington, DC",90.0
"Atlanta, GA",77.0
"Washington, DC",92.0
"Kansas City, MO",38.0
"Miami, FL",75.0
"Los Angeles, CA",71.0
"Dallas, TX",87.0
"San Francisco, CA",54.0
"Atlanta, GA",72.0
"New York City, NY",43.0
"Denver, CO",71.0
"Seattle, WA",42.0
"Kansas City, MO",79.0
"Kansas City, MO",69.0
"Washington, DC",90.0
"Miami, FL",82.0
"Dallas, TX",98.0
"Washington, DC",94.0
"Washington, DC",75.0
"New York City, NY",77.0
"Seattle, WA",78.0
"Dallas, TX",94.0
"Dallas, TX",53.0
"Washington, DC",90.0
"New York City, NY",88.0
"Seattle, WA",54.0
"Kansas City, MO",80.0
"Denver, CO",78.0
"Dallas, TX",64.0
"Dallas, TX",80.0
"New York City, NY",82.0
"Dallas, TX",84.0
"Dallas, TX",102.0
"Washington, DC",33.0
"Miami, FL",73.0
